,municipio_o,comuna_o,hora_o,municipio_d,comuna_d,hora_d,motivo_viaje,modo_tte,o_long,o_lat,d_long,d_lat
0,Medellin,La Candelaria,20:00:00,Medellin,Corregimiento Altavista,21:00:00,Casa,Moto (Conductor),-75.56360841,6.246893833,-75.66480683,6.243582724
1,Medellin,Guayabal,14:00:00,Medellin,La Candelaria,15:00:00,Diligencia,Moto (Conductor),-75.5815758,6.207210971,-75.57389919,6.244614126
2,Medellin,Guayabal,09:00:00,Medellin,El Poblado,09:20:00,Estudio,Moto (Conductor),-75.59699916,6.207351864,-75.57360415,6.187435889
3,Medellin,El Poblado,16:00:00,Medellin,Guayabal,16:20:00,Casa,Moto (Conductor),-75.57665792,6.218631645,-75.58094325,6.22326448
4,Medellin,Corregimiento Altavista,08:00:00,Medellin,Corregimiento Altavista,08:05:00,Otro,Moto (Conductor),-75.63500765,6.218354131,-75.60902047,6.205899171
5,Medellin,Corregimiento Altavista,09:00:00,Medellin,Corregimiento Altavista,09:05:00,Casa,Moto (Conductor),-75.63568072,6.212364758,-75.63487083,6.229765556
6,Medellin,Belen,05:45:00,Medellin,Belen,06:00:00,Trabajo,Moto (Acompa?帶nte),-75.60665607,6.204571543,-75.60066177,6.2080972
7,Medellin,Belen,17:00:00,Medellin,Belen,17:15:00,Casa,Moto (Acompa?帶nte),-75.60457685,6.231634585,-75.59650997,6.230290835
8,Medellin,Belen,05:45:00,Medellin,Belen,06:00:00,Trabajo,Moto (Conductor),-75.60798831,6.213289714,-75.6004135,6.23571858
9,Medellin,Belen,17:00:00,Medellin,Belen,17:15:00,Casa,Moto (Conductor),-75.59632675,6.217174166,-75.59708981,6.236163329
10,Medellin,Popular,12:00:00,Medellin,San Javier,12:30:00,Casa,Moto (Acompa?帶nte),-75.5370129,6.28978905,-75.59980156,6.271525462
11,Medellin,Corregimiento Altavista,07:00:00,Medellin,Belen,07:40:00,Trabajo,Moto (Conductor),-75.65882289,6.255245013,-75.58131699,6.235971325
12,Medellin,Belen,16:00:00,Medellin,Corregimiento Altavista,16:40:00,Casa,Moto (Conductor),-75.6127892,6.234379351,-75.63965059,6.247095697
13,Medellin,Corregimiento Altavista,07:00:00,Medellin,Belen,07:10:00,Estudio,Moto (Acompa?帶nte),-75.65462895,6.227987293,-75.6038626,6.217990339
14,Medellin,San Javier,07:00:00,Medellin,Laureles-Estadio,07:20:00,Trabajo,Moto (Conductor),-75.61090755,6.258556015,-75.61097384,6.241175832
15,Medellin,Laureles-Estadio,17:30:00,Medellin,San Javier,18:00:00,Casa,Moto (Conductor),-75.58279791,6.255761196,-75.61021228,6.271398605
16,Medellin,San Javier,05:00:00,Medellin,Guayabal,05:40:00,Trabajo,Moto (Conductor),-75.60326284,6.262104012,-75.58324948,6.229187111
17,Medellin,Guayabal,18:00:00,Medellin,San Javier,18:30:00,Casa,Moto (Conductor),-75.59620745,6.199336358,-75.61225349,6.268842639
18,Medellin,Corregimiento Altavista,10:00:00,Medellin,El Poblado,11:00:00,Trabajo,Moto (Conductor),-75.62607729,6.199153083,-75.5690565,6.189336693
19,Medellin,San Javier,07:50:00,Medellin,Guayabal,08:00:00,Alguien,Moto (Conductor),-75.63258479,6.248434905,-75.59240085,6.198373819
20,Medellin,Guayabal,08:10:00,Medellin,San Javier,08:20:00,Casa,Moto (Conductor),-75.58839761,6.224979531,-75.59820227,6.270293961
21,Medellin,San Javier,07:50:00,Medellin,Guayabal,08:00:00,Alguien,Moto (Acompa?帶nte),-75.61708742,6.247116546,-75.58217318,6.208385184
22,Medellin,Guayabal,08:10:00,Medellin,San Javier,08:20:00,Casa,Moto (Acompa?帶nte),-75.58808025,6.211293077,-75.61632644,6.270463352
23,Medellin,San Javier,07:50:00,Medellin,Guayabal,08:00:00,Otro,Moto (Acompa?帶nte),-75.6060467,6.264831852,-75.57828464,6.224961755
24,Medellin,San Javier,07:45:00,Medellin,Laureles-Estadio,08:10:00,Trabajo,Moto (Conductor),-75.62848248,6.253009039,-75.59319717,6.257412629
25,Medellin,Laureles-Estadio,17:50:00,Medellin,San Javier,18:30:00,Casa,Moto (Conductor),-75.58178766,6.246401261,-75.62472881,6.258549228
26,Medellin,San Javier,20:00:00,Medellin,La America,20:15:00,Diligencia,Moto (Conductor),-75.61792407,6.24574827,-75.60456179,6.259025193
27,Medellin,La America,20:45:00,Medellin,San Javier,21:00:00,Casa,Moto (Conductor),-75.60748327,6.252216833,-75.63556982,6.246695819
28,Medellin,El Poblado,14:15:00,Medellin,San Javier,15:00:00,Casa,Moto (Acompa?帶nte),-75.57561245,6.228205959,-75.60708974,6.265719154
29,Medellin,La Candelaria,11:00:00,Medellin,Buenos Aires,11:30:00,Trabajo,Moto (Conductor),-75.57272129,6.246083915,-75.55707527,6.219275515
30,Medellin,San Javier,05:30:00,Medellin,El Poblado,06:00:00,Trabajo,Moto (Acompa?帶nte),-75.61762309,6.245047237,-75.57005466,6.20127462
31,Medellin,San Javier,06:30:00,Medellin,El Poblado,06:50:00,Trabajo,Moto (Conductor),-75.61090378,6.260664834,-75.55398315,6.189849814
32,Medellin,Robledo,20:30:00,Medellin,San Javier,21:00:00,Casa,Moto (Conductor),-75.58402831,6.281082127,-75.61941045,6.258421499
33,Medellin,San Javier,11:00:00,Medellin,Laureles-Estadio,11:25:00,Trabajo,Moto (Conductor),-75.62219226,6.24376745,-75.59838034,6.23903073
34,Medellin,Laureles-Estadio,19:00:00,Medellin,San Javier,19:30:00,Casa,Moto (Conductor),-75.59109234,6.257401361,-75.61744277,6.247175471
35,Medellin,San Javier,05:30:00,Medellin,Castilla,06:30:00,Trabajo,Moto (Conductor),-75.62275261,6.254061887,-75.57356953,6.267731069
36,Medellin,Castilla,17:00:00,Medellin,San Javier,18:00:00,Casa,Moto (Conductor),-75.57352917,6.29006984,-75.62005955,6.25954891
37,Medellin,San Javier,20:00:00,Medellin,La Candelaria,21:00:00,Alguien,Moto (Conductor),-75.62245723,6.259674701,-75.57641245,6.239986342
38,Medellin,La Candelaria,21:00:00,Medellin,San Javier,22:00:00,Casa,Moto (Acompa?帶nte),-75.5661432,6.245227972,-75.60982328,6.260104076
39,Medellin,San Javier,06:40:00,Medellin,Belen,07:30:00,Trabajo,Moto (Conductor),-75.62426899,6.248301335,-75.60697449,6.231887488
40,Medellin,Belen,16:30:00,Medellin,San Javier,17:00:00,Casa,Moto (Conductor),-75.60803607,6.218838153,-75.62434493,6.245885679
41,Medellin,San Javier,17:30:00,Medellin,La Candelaria,18:00:00,Estudio,Moto (Conductor),-75.60624608,6.258905515,-75.56384631,6.248099787
42,Medellin,La Candelaria,21:30:00,Medellin,San Javier,22:00:00,Casa,Moto (Conductor),-75.56772462,6.228588029,-75.62877303,6.260562841
43,Medellin,San Javier,05:30:00,Medellin,El Poblado,06:00:00,Trabajo,Moto (Conductor),-75.60452308,6.267519518,-75.56073753,6.21187923
44,Medellin,El Poblado,15:30:00,Medellin,Robledo,16:00:00,Estudio,Moto (Conductor),-75.5734549,6.212693095,-75.57717278,6.2811785
45,Medellin,Robledo,22:00:00,Medellin,San Javier,22:20:00,Casa,Moto (Conductor),-75.59130142,6.277084874,-75.60540937,6.26112203
46,Medellin,San Javier,17:00:00,Medellin,Doce de Octubre,18:00:00,Estudio,Moto (Conductor),-75.61761007,6.258222489,-75.58333772,6.302365874
47,Medellin,San Javier,04:30:00,Medellin,Laureles-Estadio,04:55:00,Trabajo,Moto (Acompa?帶nte),-75.61566684,6.268374864,-75.60664956,6.237763403
48,Medellin,San Javier,04:30:00,Medellin,Belen,05:00:00,Trabajo,Moto (Conductor),-75.61581105,6.255532841,-75.60111116,6.20474072
49,Medellin,Belen,17:00:00,Medellin,San Javier,18:00:00,Casa,Moto (Conductor),-75.59853077,6.232773114,-75.60162151,6.273370437
50,Medellin,San Javier,09:00:00,Medellin,La Candelaria,10:00:00,Compras,Moto (Conductor),-75.61036303,6.261730452,-75.57025257,6.245757083
51,Medellin,La Candelaria,11:00:00,Medellin,San Javier,12:00:00,Casa,Moto (Conductor),-75.5714922,6.263791607,-75.61919647,6.2455614
52,Medellin,San Javier,09:00:00,Medellin,La Candelaria,10:00:00,Compras,Moto (Acompa?帶nte),-75.62423191,6.259145946,-75.57001928,6.25736583
53,Medellin,La Candelaria,11:00:00,Medellin,San Javier,12:00:00,Casa,Moto (Acompa?帶nte),-75.56766099,6.243607245,-75.62389425,6.261332901
54,Medellin,Corregimiento Altavista,06:00:00,Medellin,Corregimiento Altavista,06:05:00,Alguien,Moto (Acompa?帶nte),-75.64951874,6.226284754,-75.62603425,6.243003603
55,Medellin,Corregimiento Altavista,06:15:00,Medellin,Corregimiento Altavista,06:20:00,Casa,Moto (Acompa?帶nte),-75.64678651,6.22418915,-75.6103105,6.208406407
56,Medellin,Corregimiento Altavista,11:00:00,Medellin,Corregimiento Altavista,11:05:00,Alguien,Moto (Acompa?帶nte),-75.65547235,6.254387943,-75.6258991,6.235204128
57,Medellin,Corregimiento Altavista,11:15:00,Medellin,Corregimiento Altavista,11:20:00,Casa,Moto (Acompa?帶nte),-75.65240915,6.238570491,-75.60958141,6.208217722
58,Medellin,Corregimiento Altavista,06:00:00,Medellin,Corregimiento Altavista,06:05:00,Estudio,Moto (Acompa?帶nte),-75.63493205,6.24009542,-75.64867923,6.228539376
59,Medellin,Corregimiento Altavista,11:15:00,Medellin,Corregimiento Altavista,11:20:00,Casa,Moto (Acompa?帶nte),-75.61079271,6.204247478,-75.61760823,6.199592623
60,Medellin,La Candelaria,21:30:00,Medellin,Corregimiento Altavista,22:00:00,Casa,Moto (Conductor),-75.56336304,6.259000201,-75.62450223,6.213932738
61,Medellin,Guayabal,18:15:00,Medellin,San Javier,18:50:00,Casa,Moto (Conductor),-75.58855012,6.220420055,-75.61962093,6.24732707
62,Medellin,San Javier,07:30:00,Medellin,Guayabal,07:50:00,Trabajo,Moto (Acompa?帶nte),-75.61358827,6.257298178,-75.58853905,6.20177318
63,Medellin,Guayabal,18:10:00,Medellin,San Javier,18:50:00,Casa,Moto (Acompa?帶nte),-75.57937369,6.210440881,-75.61530259,6.267304685
64,Medellin,San Javier,06:20:00,Medellin,La America,06:30:00,Alguien,Moto (Conductor),-75.62834169,6.251685726,-75.60762115,6.253166178
65,Medellin,San Javier,06:20:00,Medellin,Laureles-Estadio,06:35:00,Salud,Moto (Acompa?帶nte),-75.62612505,6.262261423,-75.58405537,6.242628128
66,Medellin,San Javier,06:20:00,Medellin,La America,06:30:00,Estudio,Moto (Acompa?帶nte),-75.63464518,6.248342906,-75.59916085,6.256771947
67,Medellin,San Javier,10:00:00,Medellin,La America,10:15:00,Trabajo,Moto (Conductor),-75.60289339,6.261299568,-75.6028383,6.245693176
68,Medellin,La America,12:00:00,Medellin,San Javier,13:00:00,Casa,Moto (Conductor),-75.60807896,6.251476281,-75.61655135,6.258078428
69,Medellin,San Javier,13:00:00,Medellin,La Candelaria,13:15:00,Diligencia,Moto (Conductor),-75.61894311,6.253075236,-75.57054404,6.253435621
70,Medellin,La Candelaria,16:00:00,Medellin,San Javier,16:15:00,Casa,Moto (Conductor),-75.57544874,6.24566873,-75.62679923,6.254296024
71,Medellin,San Javier,07:30:00,Medellin,La Candelaria,08:00:00,Trabajo,Moto (Conductor),-75.60727673,6.275475968,-75.57324999,6.252777729
72,Medellin,La Candelaria,18:00:00,Medellin,Robledo,18:30:00,Estudio,Moto (Conductor),-75.57091841,6.228721198,-75.61549983,6.272455073
73,Medellin,Robledo,20:30:00,Medellin,San Javier,21:00:00,Casa,Moto (Conductor),-75.59747428,6.276263409,-75.61394968,6.268014792
74,Medellin,San Javier,08:00:00,Medellin,La Candelaria,08:30:00,Trabajo,Moto (Conductor),-75.61663174,6.26308719,-75.572454,6.257549236
75,Medellin,La Candelaria,17:30:00,Medellin,San Javier,18:00:00,Casa,Moto (Conductor),-75.56748238,6.232659057,-75.62013601,6.255739967
76,Medellin,San Javier,08:00:00,Medellin,La Candelaria,08:40:00,Estudio,Moto (Conductor),-75.6041185,6.2721822,-75.57075545,6.263686884
77,Medellin,La Candelaria,18:30:00,Medellin,San Javier,19:00:00,Casa,Moto (Conductor),-75.56384362,6.246450391,-75.61668097,6.243050455
78,Medellin,San Javier,07:30:00,Medellin,San Javier,08:00:00,Trabajo,Moto (Conductor),-75.61957928,6.2503312,-75.61360048,6.260275969
79,Medellin,San Javier,20:30:00,Medellin,San Javier,21:00:00,Casa,Moto (Conductor),-75.62800661,6.251477957,-75.62370254,6.251142844
80,Medellin,San Javier,04:30:00,Medellin,La Candelaria,05:15:00,Estudio,Moto (Conductor),-75.62677065,6.252003143,-75.57383813,6.230912665
81,Medellin,La Candelaria,08:00:00,Medellin,El Poblado,08:30:00,Trabajo,Moto (Conductor),-75.56983219,6.236356957,-75.57066637,6.192416413
82,Medellin,El Poblado,17:00:00,Medellin,San Javier,18:05:00,Casa,Moto (Conductor),-75.56191763,6.181515295,-75.6084817,6.25941889
83,Medellin,San Javier,07:30:00,Medellin,La America,08:00:00,Trabajo,Moto (Conductor),-75.63402387,6.247501616,-75.61505472,6.252519941
84,Medellin,La America,18:00:00,Medellin,San Javier,18:30:00,Casa,Moto (Conductor),-75.60607223,6.253360861,-75.61470568,6.270315445
85,Medellin,San Javier,06:20:00,Medellin,La America,06:25:00,Estudio,Moto (Acompa?帶nte),-75.62149207,6.261425037,-75.60460683,6.250551144
86,Medellin,San Javier,07:30:00,Medellin,Laureles-Estadio,08:00:00,Trabajo,Moto (Conductor),-75.61991621,6.255018752,-75.59953566,6.248029737
87,Medellin,Laureles-Estadio,14:00:00,Medellin,San Javier,14:30:00,Casa,Moto (Conductor),-75.59421142,6.259876455,-75.6221426,6.258522997
88,Medellin,San Javier,06:00:00,Medellin,Laureles-Estadio,06:40:00,Trabajo,Moto (Conductor),-75.60058878,6.26926813,-75.58469227,6.248742816
89,Medellin,Laureles-Estadio,17:00:00,Medellin,San Javier,18:00:00,Casa,Moto (Conductor),-75.5944476,6.253859778,-75.60591139,6.264977974
90,Medellin,San Javier,08:30:00,Medellin,El Poblado,09:10:00,Trabajo,Moto (Conductor),-75.62814416,6.254455306,-75.55447067,6.196388972
91,Medellin,San Javier,05:00:00,Medellin,La Candelaria,05:20:00,Estudio,Moto (Conductor),-75.61988895,6.251308581,-75.56115678,6.242457363
92,Medellin,San Javier,06:00:00,Medellin,El Poblado,07:00:00,Trabajo,Moto (Acompa?帶nte),-75.63564602,6.248134229,-75.57817842,6.185038092
93,Medellin,San Javier,06:00:00,Medellin,Castilla,06:40:00,Trabajo,Moto (Acompa?帶nte),-75.61968688,6.24792067,-75.56770171,6.284828747
94,Medellin,Castilla,17:00:00,Medellin,San Javier,17:30:00,Casa,Moto (Acompa?帶nte),-75.571892,6.273925607,-75.63060696,6.254090373
