,municipio_o,comuna_o,hora_o,municipio_d,comuna_d,hora_d,motivo_viaje,modo_tte,o_long,o_lat,d_long,d_lat
0,Itagui,Itagui-Comuna 04,08:30:00,Medellin,Belen,09:00:00,Trabajo,Moto (Conductor),-75.63380746,6.184069778,-75.61650387,6.237199981
1,Medellin,Belen,19:00:00,Itagui,Itagui-Comuna 04,19:30:00,Casa,Moto (Conductor),-75.59704412,6.215972969,-75.59540446,6.182926791
2,Itagui,Itagui-Comuna 04,07:30:00,Medellin,Belen,08:00:00,Trabajo,Moto (Conductor),-75.62418889,6.164344001,-75.5969787,6.224186429
3,Medellin,Belen,18:00:00,Itagui,Itagui-Comuna 04,18:30:00,Casa,Moto (Conductor),-75.60927199,6.228158002,-75.61172415,6.180487611
4,Medellin,La Candelaria,20:00:00,Medellin,Corregimiento Altavista,21:00:00,Casa,Moto (Conductor),-75.56611735,6.240780892,-75.61873335,6.219460628
5,Medellin,Corregimiento Altavista,07:00:00,Itagui,Itagui-Comuna 01,08:00:00,Trabajo,Moto (Conductor),-75.64731454,6.220505487,-75.62275021,6.1609636
6,Itagui,Itagui-Comuna 01,20:00:00,Medellin,Corregimiento Altavista,21:00:00,Casa,Moto (Conductor),-75.59601131,6.18266746,-75.61933375,6.210563941
7,Itagui,Itagui-Comuna 05,07:30:00,Medellin,Guayabal,07:50:00,Trabajo,Moto (Conductor),-75.61695621,6.192278911,-75.58691369,6.210100992
8,Medellin,Guayabal,18:00:00,Itagui,Itagui-Comuna 05,19:00:00,Casa,Moto (Conductor),-75.58004393,6.228631268,-75.6096748,6.196376706
9,Itagui,Itagui-Comuna 05,06:30:00,Medellin,Guayabal,07:00:00,Trabajo,Moto (Conductor),-75.62184875,6.181463933,-75.58850378,6.202453526
10,Medellin,Guayabal,18:00:00,Itagui,Itagui-Comuna 05,18:30:00,Casa,Moto (Conductor),-75.58362594,6.197475094,-75.59830918,6.186545596
11,Itagui,Itagui-Comuna 04,15:00:00,Itagui,Itagui-Comuna 01,15:10:00,Diligencia,Moto (Conductor),-75.5840234,6.193708096,-75.60443353,6.195657188
12,Itagui,Itagui-Comuna 01,16:20:00,Itagui,Itagui-Comuna 04,16:30:00,Casa,Moto (Conductor),-75.61403402,6.194218506,-75.59645404,6.176655975
13,Itagui,Itagui-Comuna 04,07:30:00,Medellin,Belen,08:00:00,Trabajo,Moto (Conductor),-75.61394696,6.187254013,-75.59468708,6.236222261
14,Medellin,Belen,18:00:00,Itagui,Itagui-Comuna 04,18:30:00,Casa,Moto (Conductor),-75.60511291,6.204608048,-75.62402309,6.177241842
15,Itagui,Itagui-Comuna 04,07:30:00,Medellin,Belen,08:00:00,Trabajo,Moto (Conductor),-75.61005919,6.187266394,-75.61037916,6.229632085
16,Medellin,Belen,18:00:00,Itagui,Itagui-Comuna 04,18:30:00,Casa,Moto (Conductor),-75.60206692,6.211187854,-75.60144009,6.171789556
17,Itagui,Itagui-Comuna 05,09:00:00,Bello,Rural Bello,09:40:00,Estudio,Moto (Conductor),-75.62784224,6.182354884,-75.62448686,6.335620343
18,Bello,Rural Bello,16:00:00,Itagui,Itagui-Comuna 05,16:40:00,Casa,Moto (Conductor),-75.56966531,6.373964355,-75.60132977,6.179154017
19,Itagui,Itagui-Comuna 05,17:30:00,Medellin,Guayabal,17:55:00,Trabajo,Moto (Conductor),-75.62607492,6.189813742,-75.58413018,6.197527568
20,Medellin,Guayabal,21:30:00,Itagui,Itagui-Comuna 05,21:50:00,Casa,Moto (Conductor),-75.57713119,6.221289362,-75.61017886,6.179128075
21,Itagui,Itagui-Comuna 04,12:00:00,Itagui,Itagui-Comuna 06,12:03:00,Estudio,Moto (Acompa?帶nte),-75.62409727,6.176451845,-75.61672362,6.177370837
22,Itagui,Itagui-Comuna 04,06:30:00,La Estrella,Urbana La Estrella,07:00:00,Trabajo,Moto (Conductor),-75.64366396,6.170915682,-75.62463005,6.112668203
23,La Estrella,Urbana La Estrella,17:00:00,Itagui,Itagui-Comuna 04,17:30:00,Casa,Moto (Conductor),-75.62826466,6.115346139,-75.6233127,6.167333892
24,Itagui,Itagui-Comuna 04,06:30:00,La Estrella,Urbana La Estrella,07:00:00,Trabajo,Moto (Conductor),-75.59846046,6.193543882,-75.65130769,6.142058391
25,La Estrella,Urbana La Estrella,17:00:00,Itagui,Itagui-Comuna 04,18:00:00,Casa,Moto (Conductor),-75.65153842,6.125909592,-75.59423767,6.178616928
26,Itagui,Itagui-Comuna 04,14:00:00,Itagui,Itagui-Comuna 01,14:15:00,Diligencia,Moto (Conductor),-75.62931054,6.183082363,-75.61501904,6.192679542
