ORIGIN_MUNICIPIO,ORIGIN_COMUNA,ORIGIN_TIME,o_lat,o_long,DESTINATION_MUNICIPIO,DESTINATION_COMUNA,DESTINATION_TIME,d_lat,d_long,TRANSPORT_MODE_S1,TRIP_PURPOSE
Itagui,Itagui-Comuna 04,08:30:00,6.184069778,-75.63380746,Medellin,Belen,09:00:00,6.237199981,-75.61650387,Moto (Conductor),Trabajo
Medellin,Belen,19:00:00,6.215972969,-75.59704412,Itagui,Itagui-Comuna 04,19:30:00,6.182926791,-75.59540446,Moto (Conductor),Casa
Itagui,Itagui-Comuna 04,07:30:00,6.164344001,-75.62418889,Medellin,Belen,08:00:00,6.224186429,-75.5969787,Moto (Conductor),Trabajo
Medellin,Belen,18:00:00,6.228158002,-75.60927199,Itagui,Itagui-Comuna 04,18:30:00,6.180487611,-75.61172415,Moto (Conductor),Casa
Medellin,La Candelaria,20:00:00,6.240780892,-75.56611735,Medellin,Corregimiento Altavista,21:00:00,6.219460628,-75.61873335,Moto (Conductor),Casa
Medellin,Corregimiento Altavista,07:00:00,6.220505487,-75.64731454,Itagui,Itagui-Comuna 01,08:00:00,6.1609636,-75.62275021,Moto (Conductor),Trabajo
Itagui,Itagui-Comuna 01,20:00:00,6.18266746,-75.59601131,Medellin,Corregimiento Altavista,21:00:00,6.210563941,-75.61933375,Moto (Conductor),Casa
Itagui,Itagui-Comuna 05,07:30:00,6.192278911,-75.61695621,Medellin,Guayabal,07:50:00,6.210100992,-75.58691369,Moto (Conductor),Trabajo
Medellin,Guayabal,18:00:00,6.228631268,-75.58004393,Itagui,Itagui-Comuna 05,19:00:00,6.196376706,-75.6096748,Moto (Conductor),Casa
Itagui,Itagui-Comuna 05,06:30:00,6.181463933,-75.62184875,Medellin,Guayabal,07:00:00,6.202453526,-75.58850378,Moto (Conductor),Trabajo
Medellin,Guayabal,18:00:00,6.197475094,-75.58362594,Itagui,Itagui-Comuna 05,18:30:00,6.186545596,-75.59830918,Moto (Conductor),Casa
Itagui,Itagui-Comuna 04,15:00:00,6.193708096,-75.5840234,Itagui,Itagui-Comuna 01,15:10:00,6.195657188,-75.60443353,Moto (Conductor),Diligencia
Itagui,Itagui-Comuna 01,16:20:00,6.194218506,-75.61403402,Itagui,Itagui-Comuna 04,16:30:00,6.176655975,-75.59645404,Moto (Conductor),Casa
Itagui,Itagui-Comuna 04,07:30:00,6.187254013,-75.61394696,Medellin,Belen,08:00:00,6.236222261,-75.59468708,Moto (Conductor),Trabajo
Medellin,Belen,18:00:00,6.204608048,-75.60511291,Itagui,Itagui-Comuna 04,18:30:00,6.177241842,-75.62402309,Moto (Conductor),Casa
Itagui,Itagui-Comuna 04,07:30:00,6.187266394,-75.61005919,Medellin,Belen,08:00:00,6.229632085,-75.61037916,Moto (Conductor),Trabajo
Medellin,Belen,18:00:00,6.211187854,-75.60206692,Itagui,Itagui-Comuna 04,18:30:00,6.171789556,-75.60144009,Moto (Conductor),Casa
Itagui,Itagui-Comuna 05,09:00:00,6.182354884,-75.62784224,Bello,Rural Bello,09:40:00,6.335620343,-75.62448686,Moto (Conductor),Estudio
Bello,Rural Bello,16:00:00,6.373964355,-75.56966531,Itagui,Itagui-Comuna 05,16:40:00,6.179154017,-75.60132977,Moto (Conductor),Casa
Itagui,Itagui-Comuna 05,17:30:00,6.189813742,-75.62607492,Medellin,Guayabal,17:55:00,6.197527568,-75.58413018,Moto (Conductor),Trabajo
Medellin,Guayabal,21:30:00,6.221289362,-75.57713119,Itagui,Itagui-Comuna 05,21:50:00,6.179128075,-75.61017886,Moto (Conductor),Casa
Itagui,Itagui-Comuna 04,12:00:00,6.176451845,-75.62409727,Itagui,Itagui-Comuna 06,12:03:00,6.177370837,-75.61672362,Moto (Acompa?±ante),Estudio
Itagui,Itagui-Comuna 04,06:30:00,6.170915682,-75.64366396,La Estrella,Urbana La Estrella,07:00:00,6.112668203,-75.62463005,Moto (Conductor),Trabajo
La Estrella,Urbana La Estrella,17:00:00,6.115346139,-75.62826466,Itagui,Itagui-Comuna 04,17:30:00,6.167333892,-75.6233127,Moto (Conductor),Casa
Itagui,Itagui-Comuna 04,06:30:00,6.193543882,-75.59846046,La Estrella,Urbana La Estrella,07:00:00,6.142058391,-75.65130769,Moto (Conductor),Trabajo
La Estrella,Urbana La Estrella,17:00:00,6.125909592,-75.65153842,Itagui,Itagui-Comuna 04,18:00:00,6.178616928,-75.59423767,Moto (Conductor),Casa
Itagui,Itagui-Comuna 04,14:00:00,6.183082363,-75.62931054,Itagui,Itagui-Comuna 01,14:15:00,6.192679542,-75.61501904,Moto (Conductor),Diligencia
