ORIGIN_CLUSTER,DESTINATION_CLUSTER,FLOW_WEIGHT,ORIGIN_CENTROID_LON,ORIGIN_CENTROID_LAT,DESTINATION_CENTROID_LON,DESTINATION_CENTROID_LAT
2,8,3,-74.09009926,4.590847511,-74.09382856,4.587378338
4,1,2,-74.08143135,4.610056817,-74.08353486,4.617530857
10,1,2,-74.10203693,4.647424123,-74.08353486,4.617530857
2,3,1,-74.09009926,4.590847511,-74.08896345,4.602899236
2,4,1,-74.09009926,4.590847511,-74.07530713,4.615824207
1,9,1,-74.09537007,4.648150915,-74.08529565,4.629296963
4,6,1,-74.08143135,4.610056817,-74.067167,4.645697557
4,7,1,-74.08143135,4.610056817,-74.08985906,4.658673694
9,1,1,-74.07856943,4.592824941,-74.08353486,4.617530857
4,8,1,-74.08143135,4.610056817,-74.09382856,4.587378338
9,6,1,-74.07856943,4.592824941,-74.067167,4.645697557
10,2,1,-74.10203693,4.647424123,-74.09671565,4.613517471
10,5,1,-74.10203693,4.647424123,-74.08354621,4.648910432
10,10,1,-74.10203693,4.647424123,-74.13325414,4.60468798
11,0,1,-74.08212502,4.649181699,-74.09132872,4.625839476
12,5,1,-74.07898221,4.631913863,-74.08354621,4.648910432
12,8,1,-74.07898221,4.631913863,-74.09382856,4.587378338
12,9,1,-74.07898221,4.631913863,-74.08529565,4.629296963
13,5,1,-74.09017086,4.640401605,-74.08354621,4.648910432
13,6,1,-74.09017086,4.640401605,-74.067167,4.645697557
13,7,1,-74.09017086,4.640401605,-74.08985906,4.658673694
14,1,1,-74.10582586,4.596194543,-74.08353486,4.617530857
