ORIGIN_CLUSTER,DESTINATION_CLUSTER,FLOW_WEIGHT,ORIGIN_CENTROID_LON,ORIGIN_CENTROID_LAT,DESTINATION_CENTROID_LON,DESTINATION_CENTROID_LAT,DOMINANT_TIME_BIN,DOMINANT_ORIGIN_ZONE,DOMINANT_DESTINATION_ZONE,DISTANCE_KM,DISTANCE_BIN
108,0,11,-75.59038299,6.195553216,-75.58540678,6.242100447,AM_PEAK,Guayabal,El Poblado,5.204964083811072,Medium
118,200,1,-75.58117004,6.301188642,-75.56920733,6.256186139,AM_PEAK,Doce de Octubre,La Candelaria,5.175786488091338,Medium
121,0,7,-75.54499255,6.287724471,-75.58540678,6.242100447,AM_PEAK,Popular,El Poblado,6.759527940552614,Medium
119,0,7,-75.53976891,6.290280245,-75.58540678,6.242100447,AM_PEAK,Popular,El Poblado,7.358462303421138,Medium
1,0,33,-75.52992392,6.235032266,-75.58540678,6.242100447,AM_PEAK,Villa Hermosa,El Poblado,6.18303306756164,Medium
123,0,5,-75.57995994,6.304046577,-75.58540678,6.242100447,AM_PEAK,Doce de Octubre,El Poblado,6.914354888059858,Medium
121,201,1,-75.54499255,6.287724471,-75.56536944,6.243308124,AM_PEAK,Popular,La Candelaria,5.4281850710176425,Medium
107,201,1,-75.59366105,6.198994224,-75.56536944,6.243308124,AM_PEAK,Guayabal,La Candelaria,5.83613158743991,Medium
101,0,10,-75.62184875,6.181463933,-75.58540678,6.242100447,AM_PEAK,Itagui-Comuna 01,El Poblado,7.854215980703385,Medium
0,219,5,-75.58412766,6.24279024,-75.54169987,6.28667093,AM_PEAK,El Poblado,Popular,6.767558335861629,Medium
118,0,5,-75.58117004,6.301188642,-75.58540678,6.242100447,AM_PEAK,Doce de Octubre,El Poblado,6.586974351889484,Medium
0,202,136,-75.58412766,6.24279024,-75.57302917,6.237404998,AM_PEAK,El Poblado,La Candelaria,1.3651278847081767,Short
3,200,4,-75.54265996,6.252286773,-75.56920733,6.256186139,AM_PEAK,Villa Hermosa,La Candelaria,2.966225032472636,Short
3,0,34,-75.54265996,6.252286773,-75.58540678,6.242100447,AM_PEAK,Villa Hermosa,El Poblado,4.858867365211708,Short
0,201,114,-75.58412766,6.24279024,-75.56536944,6.243308124,AM_PEAK,El Poblado,La Candelaria,2.0742485444460006,Short
0,200,254,-75.58412766,6.24279024,-75.56920733,6.256186139,AM_PEAK,El Poblado,La Candelaria,2.222308821558731,Short
0,216,8,-75.58412766,6.24279024,-75.60598522,6.240672994,AM_PEAK,El Poblado,Laureles-Estadio,2.4274854552264418,Short
100,201,2,-75.56670406,6.236365923,-75.56536944,6.243308124,AM_PEAK,La Candelaria,La Candelaria,0.7859076390564099,Short
0,210,25,-75.58412766,6.24279024,-75.56138311,6.251153007,AM_PEAK,El Poblado,La Candelaria,2.680524626805393,Short
0,203,27,-75.58412766,6.24279024,-75.55695878,6.249559085,AM_PEAK,El Poblado,La Candelaria,3.0959899361585745,Short
2,200,3,-75.54164954,6.23269857,-75.56920733,6.256186139,AM_PEAK,Buenos Aires,La Candelaria,4.012446749291579,Short
3,201,7,-75.54265996,6.252286773,-75.56536944,6.243308124,AM_PEAK,Villa Hermosa,La Candelaria,2.701438558632361,Short
2,0,10,-75.54164954,6.23269857,-75.58540678,6.242100447,AM_PEAK,Buenos Aires,El Poblado,4.948473347565089,Short
0,217,5,-75.58412766,6.24279024,-75.56794375,6.274627529,AM_PEAK,El Poblado,Aranjuez,3.966432328070369,Short
1,200,6,-75.52992392,6.235032266,-75.56920733,6.256186139,AM_PEAK,Villa Hermosa,La Candelaria,4.938367337717463,Short
0,215,8,-75.58412766,6.24279024,-75.60998484,6.24285198,AM_PEAK,El Poblado,La America,2.8581455341319395,Short
102,213,1,-75.56805431,6.249944195,-75.57030413,6.205496434,AM_PEAK,La Candelaria,El Poblado,4.948618472975863,Short
0,208,8,-75.58412766,6.24279024,-75.56472196,6.23804716,AM_PEAK,El Poblado,La Candelaria,2.2089156416473434,Short
0,220,6,-75.58412766,6.24279024,-75.56082051,6.281152276,AM_PEAK,El Poblado,Aranjuez,4.98322784679459,Short
115,201,1,-75.58695057,6.229950052,-75.56536944,6.243308124,AM_PEAK,Guayabal,La Candelaria,2.810146264573145,Short
100,200,2,-75.56670406,6.236365923,-75.56920733,6.256186139,AM_PEAK,La Candelaria,La Candelaria,2.2212091645888328,Short
3,203,1,-75.54265996,6.252286773,-75.55695878,6.249559085,AM_PEAK,Villa Hermosa,La Candelaria,1.6093429137922954,Short
1,202,2,-75.52992392,6.235032266,-75.57302917,6.237404998,AM_PEAK,Villa Hermosa,La Candelaria,4.772021071221652,Short
0,218,5,-75.58412766,6.24279024,-75.56387998,6.255296899,AM_PEAK,El Poblado,La Candelaria,2.6349387584664545,Short
2,203,1,-75.54164954,6.23269857,-75.55695878,6.249559085,AM_PEAK,Buenos Aires,La Candelaria,2.5255691143150187,Short
114,0,6,-75.60494322,6.281522505,-75.58540678,6.242100447,AM_PEAK,Robledo,El Poblado,4.886546420852074,Short
106,211,1,-75.56336725,6.271897092,-75.56483069,6.270810191,AM_PEAK,Aranjuez,Aranjuez,0.20191769322055064,Short
1,203,2,-75.52992392,6.235032266,-75.55695878,6.249559085,AM_PEAK,Villa Hermosa,La Candelaria,3.396947590016313,Short
111,200,3,-75.58616036,6.283836346,-75.56920733,6.256186139,AM_PEAK,Robledo,La Candelaria,3.600571877425885,Short
