cluster_id,centroid_lat,centroid_lon,num_trips,color_rgb,color_hex,colormap,cluster_type
0,6.260559319365205,-75.581621514301,2897,"rgb(12, 7, 134)",#0c0786,plasma,destination
1,6.200793785171568,-75.55867631720588,204,"rgb(31, 5, 142)",#1f058e,plasma,destination
2,6.189931309,-75.57344300066667,15,"rgb(47, 4, 149)",#2f0495,plasma,destination
3,6.2006766005625,-75.580764119375,16,"rgb(61, 3, 155)",#3d039b,plasma,destination
4,6.1864669562,-75.578068572,10,"rgb(74, 2, 160)",#4a02a0,plasma,destination
5,6.235751633499999,-75.52608470208334,24,"rgb(86, 1, 163)",#5601a3,plasma,destination
6,6.246547752397436,-75.54187992974359,78,"rgb(98, 0, 166)",#6200a6,plasma,destination
7,6.2596648018181815,-75.55243105545453,11,"rgb(111, 0, 168)",#6f00a8,plasma,destination
200,6.253970890166666,-75.57254308055556,36,"rgb(123, 2, 168)",#7b02a8,plasma,destination
201,6.2435295178,-75.5677329812,25,"rgb(133, 6, 166)",#8506a6,plasma,destination
202,6.248310473,-75.57223805121212,33,"rgb(144, 14, 163)",#900ea3,plasma,destination
203,6.247341287999999,-75.57669191526315,19,"rgb(155, 23, 158)",#9b179e,plasma,destination
204,6.235851562,-75.56597638565216,23,"rgb(165, 31, 151)",#a51f97,plasma,destination
205,6.248764794736841,-75.56772399947367,19,"rgb(174, 39, 145)",#ae2791,plasma,destination
206,6.259028281947368,-75.56904653736844,19,"rgb(183, 48, 138)",#b7308a,plasma,destination
207,6.261680877413044,-75.5625760576087,46,"rgb(191, 57, 130)",#bf3982,plasma,destination
208,6.264022655300001,-75.56720498899999,10,"rgb(199, 66, 123)",#c7427b,plasma,destination
209,6.252548930486486,-75.56507246756755,37,"rgb(206, 74, 117)",#ce4a75,plasma,destination
210,6.2562264123333335,-75.56485274166667,12,"rgb(213, 83, 109)",#d5536d,plasma,destination
211,6.2413362264,-75.575842472,10,"rgb(220, 93, 102)",#dc5d66,plasma,destination
212,6.2275536288,-75.56836560839999,25,"rgb(226, 102, 96)",#e26660,plasma,destination
213,6.239338857857143,-75.57582866,7,"rgb(231, 110, 90)",#e76e5a,plasma,destination
214,6.243960587400001,-75.56100346828572,35,"rgb(236, 120, 83)",#ec7853,plasma,destination
215,6.243209972375,-75.57143783500001,8,"rgb(241, 130, 76)",#f1824c,plasma,destination
216,6.235172683049999,-75.57214920950001,20,"rgb(245, 141, 69)",#f58d45,plasma,destination
217,6.244054322875,-75.57484185875,16,"rgb(248, 150, 63)",#f8963f,plasma,destination
218,6.246049833833332,-75.56393782416667,12,"rgb(251, 162, 56)",#fba238,plasma,destination
219,6.233298747266668,-75.57493765866667,15,"rgb(252, 173, 49)",#fcad31,plasma,destination
220,6.255054857666667,-75.56208199666666,6,"rgb(253, 185, 43)",#fdb92b,plasma,destination
221,6.257854708,-75.57098475375,8,"rgb(253, 196, 39)",#fdc427,plasma,destination
222,6.26211172309091,-75.57056111727273,11,"rgb(251, 209, 36)",#fbd124,plasma,destination
223,6.265867579866668,-75.561259626,15,"rgb(248, 223, 36)",#f8df24,plasma,destination
224,6.2689668563,-75.61336823100001,10,"rgb(243, 236, 38)",#f3ec26,plasma,destination
225,6.287433769000001,-75.555368039,10,"rgb(239, 248, 33)",#eff821,plasma,destination
-1,6.250206317864971,-75.59751045369863,511,"rgb(128, 128, 128)",#808080,gray,destination
