Ciudad_Municipio;ESTRATO;Municipio_Origen;Municipio_Destino;Motivo_Viaje
Bogotá;2;Bogotá;Bogotá;A trabajar
Bogotá;2;Bogotá;Bogotá;A regresar al hogar
Bogotá;1;Bogotá;Bogotá;A acompañar a alguien sin remuneración
Bogotá;1;Bogotá;Bogotá;A regresar al hogar
Bogotá;1;Bogotá;Bogotá;A trabajar
Bogotá;3;Bogotá;Bogotá;A trabajar
Bogotá;3;Bogotá;Bogotá;A regresar al hogar
Soacha;No aplica;Soacha;Bogotá;A asuntos médicos personales
Soacha;No aplica;Bogotá;Soacha;A regresar al hogar
Soacha;No aplica;Soacha;Bogotá;A trabajar
Soacha;No aplica;Soacha;Bogotá;A Estudiar
Bogotá;3;Bogotá;Bogotá;A acompañar a alguien sin remuneración
Bogotá;3;Bogotá;Bogotá;A Estudiar
Bogotá;1;Bogotá;Bogotá;A realizar algún trámite personal
Bogotá;1;Bogotá;Bogotá;A realizar compras
Bogotá;1;Bogotá;Bogotá;A Estudiar
Bogotá;3;Bogotá;Bogotá;A llevar y/o dejar algo
Bogotá;2;Bogotá;Bogotá;A realizar algún trámite personal
Bogotá;2;Bogotá;Bogotá;Conduzco vehículo como forma de trabajo
Bogotá;2;Bogotá;Bogotá;A Estudiar
Bogotá;2;Bogotá;Bogotá;A acompañar a alguien sin remuneración
Bogotá;3;Bogotá;Bogotá;A realizar algún trámite personal
Soacha;No aplica;Soacha;Bogotá;A realizar algún trámite personal
Soacha;No aplica;Soacha;Bogotá;A acompañar a alguien sin remuneración
Bogotá;4;Bogotá;Bogotá;A trabajar
Bogotá;4;Bogotá;Bogotá;A regresar al hogar
Bogotá;1;Bogotá;Bogotá;A asuntos médicos personales
Bogotá;3;Bogotá;Bogotá;A visitar a alguien
Bogotá;4;Bogotá;Chía;A trabajar
Bogotá;4;Chía;Bogotá;A regresar al hogar
Bogotá;2;Bogotá;Bogotá;A realizar actividades físicas y/o deportivas
Cota;No aplica;Cota;Cota;A trabajar
Cota;No aplica;Cota;Cota;A regresar al hogar
Bogotá;2;Bogotá;Sopó;A trabajar
Bogotá;2;Sopó;Bogotá;A regresar al hogar
Bogotá;1;Bogotá;Funza;A trabajar
Bogotá;2;Bogotá;Bogotá;A llevar y/o dejar algo
Bogotá;2;Bogotá;Bogotá;A realizar compras
Bogotá;3;Soacha;Bogotá;A regresar al hogar
Bogotá;1;Bogotá;Bogotá;A visitar a alguien
Funza;No aplica;Funza;Mosquera;A trabajar
Funza;No aplica;Mosquera;Funza;A regresar al hogar
Bogotá;2;Bogotá;Sibaté;A trabajar
Bogotá;2;Sibaté;Bogotá;A regresar al hogar
Bogotá;5;Bogotá;Bogotá;A trabajar
Bogotá;5;Bogotá;Bogotá;A realizar algún trámite personal
Bogotá;4;Bogotá;Bogotá;A realizar algún trámite personal
Bogotá;3;Bogotá;Bogotá;A realizar compras
Bogotá;2;Bogotá;Funza;A trabajar
Bogotá;2;Funza;Bogotá;A regresar al hogar
Bogotá;2;Bogotá;Bogotá;A asuntos médicos personales
Bogotá;3;Bogotá;Funza;A trabajar
Cajicá;No aplica;Cajicá;Cajicá;A acompañar a alguien sin remuneración
Cajicá;No aplica;Cajicá;Cajicá;A regresar al hogar
Cajicá;No aplica;Cajicá;Bogotá;A trabajar
Cajicá;No aplica;Bogotá;Cajicá;A regresar al hogar
Bogotá;4;Bogotá;Bogotá;A Estudiar
Bogotá;3;Bogotá;Bogotá;Conduzco vehículo como forma de trabajo
Bogotá;2;Bogotá;Chía;A trabajar
Bogotá;2;Chía;Bogotá;A regresar al hogar
Bogotá;4;Bogotá;Bogotá;A realizar actividades físicas y/o deportivas
Bogotá;1;Bogotá;Cajicá;A trabajar
Bogotá;1;Cajicá;Bogotá;A regresar al hogar
Bogotá;2;Bogotá;Mosquera;A visitar a alguien
Bogotá;2;Mosquera;Bogotá;A regresar al hogar
Bogotá;3;Bogotá;Cajicá;A trabajar
Bogotá;3;Cajicá;Bogotá;A regresar al hogar
Bogotá;2;Bogotá;Bogotá;A visitar a alguien
Soacha;No aplica;Soacha;Soacha;A trabajar
Soacha;No aplica;Soacha;Soacha;A regresar al hogar
Bogotá;1;Funza;Bogotá;A regresar al hogar
Bogotá;3;Bogotá;Soacha;A trabajar
Soacha;No aplica;Soacha;Funza;A trabajar
Soacha;No aplica;Funza;Soacha;A regresar al hogar
Bogotá;3;Bogotá;Bogotá;A realizar actividades recreativas y culturales
Cota;No aplica;Cota;Bogotá;A trabajar
Cota;No aplica;Bogotá;Cota;A regresar al hogar
Bogotá;1;Bogotá;Zipaquirá;A realizar algún trámite personal
Bogotá;1;Zipaquirá;Bogotá;A regresar al hogar
Bogotá;2;Bogotá;La Calera;A trabajar
Bogotá;2;La Calera;Bogotá;A regresar al hogar
Soacha;No aplica;Soacha;Bogotá;A llevar y/o dejar algo
Bogotá;3;Bogotá;Bogotá;A buscar trabajo
Madrid;No aplica;Madrid;Bogotá;A trabajar
Bogotá;1;Bogotá;Soacha;A Estudiar
Bogotá;1;Soacha;Bogotá;A regresar al hogar
Bogotá;2;Bogotá;Facatativá;A Estudiar
Bogotá;2;Facatativá;Bogotá;A regresar al hogar
Mosquera;No aplica;Mosquera;Mosquera;A regresar al hogar
Bogotá;2;Bogotá;Soacha;A visitar a alguien
Bogotá;2;Soacha;La Mesa;A visitar a alguien
Bogotá;4;Bogotá;Cáqueza;A realizar actividades recreativas y culturales
Bogotá;4;Bogotá;Bogotá;A realizar compras
Bogotá;4;Bogotá;Bogotá;A acompañar a alguien sin remuneración
Bogotá;1;Bogotá;Soacha;A trabajar
Funza;No aplica;Funza;Funza;A trabajar
Funza;No aplica;Funza;Funza;A regresar al hogar
Bogotá;2;Bogotá;Soacha;A realizar algún trámite personal
Bogotá;2;Soacha;Bogotá;A regresar al hogar
Bogotá;2;Bogotá;Soacha;A trabajar
Bogotá;2;Bogotá;Cota;A trabajar
Cajicá;No aplica;Cajicá;Tocancipá;A trabajar
Cajicá;No aplica;Tocancipá;Cajicá;A regresar al hogar
Bogotá;6;Bogotá;Bogotá;A trabajar
Bogotá;6;Bogotá;Bogotá;A regresar al hogar
Soacha;No aplica;Soacha;Soacha;A Estudiar
Cota;No aplica;Cota;Chía;A trabajar
Cota;No aplica;Chía;Cota;A regresar al hogar
Bogotá;2;Bogotá;Tocaima;A trabajar
Bogotá;2;Tocaima;Bogotá;A regresar al hogar
Bogotá;3;Bogotá;Bogotá;A asuntos médicos personales
Sibaté;No aplica;Sibaté;Sibaté;A realizar algún trámite personal
Sibaté;No aplica;Sibaté;Sibaté;A regresar al hogar
Sibaté;No aplica;Sibaté;Sibaté;A llevar y/o dejar algo
Bogotá;2;Bogotá;Tenjo;A trabajar
Bogotá;2;Tenjo;Bogotá;A regresar al hogar
Bogotá;2;Bogotá;Tocancipá;A trabajar
Bogotá;2;Tocancipá;Bogotá;A regresar al hogar
Bogotá;2;Cota;Bogotá;A regresar al hogar
Soacha;No aplica;Bogotá;Bogotá;A trabajar
Soacha;No aplica;Bogotá;Bogotá;A visitar a alguien
Bogotá;2;Bogotá;Bogotá;A realizar actividades recreativas y culturales
Cajicá;No aplica;Cajicá;Sopó;A trabajar
Cajicá;No aplica;Sopó;Cajicá;A regresar al hogar
Bogotá;3;Bogotá;Cota;A trabajar
Bogotá;3;Cota;Bogotá;A regresar al hogar
Bojacá;No aplica;Bojacá;Bojacá;A trabajar
Bogotá;4;Bogotá;Bogotá;A asuntos médicos personales
Bogotá;1;Bogotá;Bogotá;A llevar y/o dejar algo
Soacha;No aplica;Soacha;Soacha;A asuntos médicos personales
Sibaté;No aplica;Sibaté;Sibaté;A trabajar
Bogotá;4;Bogotá;Bogotá;Conduzco vehículo como forma de trabajo
Bogotá;1;Bogotá;Cota;A trabajar
Bogotá;1;Cota;Bogotá;A regresar al hogar
Soacha;No aplica;Soacha;La Calera;A trabajar
Soacha;No aplica;La Calera;Soacha;A regresar al hogar
Funza;No aplica;Funza;Bogotá;A trabajar
