ORIGIN_CLUSTER,DESTINATION_CLUSTER,FLOW_WEIGHT,ORIGIN_CENTROID_LON,ORIGIN_CENTROID_LAT,DESTINATION_CENTROID_LON,DESTINATION_CENTROID_LAT
0,0,2999,-75.58412766,6.24279024,-75.58540678,6.242100447
102,0,477,-75.56805431,6.249944195,-75.58540678,6.242100447
0,200,254,-75.58412766,6.24279024,-75.56920733,6.256186139
0,202,136,-75.58412766,6.24279024,-75.57302917,6.237404998
0,201,114,-75.58412766,6.24279024,-75.56536944,6.243308124
3,0,34,-75.54265996,6.252286773,-75.58540678,6.242100447
1,0,33,-75.52992392,6.235032266,-75.58540678,6.242100447
102,200,29,-75.56805431,6.249944195,-75.56920733,6.256186139
0,2,27,-75.58412766,6.24279024,-75.53051534,6.234577944
0,203,27,-75.58412766,6.24279024,-75.55695878,6.249559085
102,202,25,-75.56805431,6.249944195,-75.57302917,6.237404998
0,210,25,-75.58412766,6.24279024,-75.56138311,6.251153007
0,1,23,-75.58412766,6.24279024,-75.54797436,6.2353306
100,0,22,-75.56670406,6.236365923,-75.58540678,6.242100447
103,0,17,-75.6015451,6.238742718,-75.58540678,6.242100447
106,0,13,-75.56336725,6.271897092,-75.58540678,6.242100447
102,201,13,-75.56805431,6.249944195,-75.56536944,6.243308124
102,2,11,-75.56805431,6.249944195,-75.53051534,6.234577944
108,0,11,-75.59038299,6.195553216,-75.58540678,6.242100447
110,0,10,-75.57359496,6.233134223,-75.58540678,6.242100447
2,0,10,-75.54164954,6.23269857,-75.58540678,6.242100447
101,0,10,-75.62184875,6.181463933,-75.58540678,6.242100447
112,0,10,-75.58538587,6.241227419,-75.58540678,6.242100447
0,206,9,-75.58412766,6.24279024,-75.5684028,6.27997851
113,0,8,-75.59022345,6.28353626,-75.58540678,6.242100447
116,0,8,-75.58169531,6.246122296,-75.58540678,6.242100447
104,0,8,-75.56106575,6.297248105,-75.58540678,6.242100447
0,216,8,-75.58412766,6.24279024,-75.60598522,6.240672994
0,211,8,-75.58412766,6.24279024,-75.56483069,6.270810191
0,215,8,-75.58412766,6.24279024,-75.60998484,6.24285198
0,208,8,-75.58412766,6.24279024,-75.56472196,6.23804716
111,0,7,-75.58616036,6.283836346,-75.58540678,6.242100447
0,212,7,-75.58412766,6.24279024,-75.58046231,6.214663963
3,201,7,-75.54265996,6.252286773,-75.56536944,6.243308124
119,0,7,-75.53976891,6.290280245,-75.58540678,6.242100447
120,0,7,-75.54836726,6.292164451,-75.58540678,6.242100447
121,0,7,-75.54499255,6.287724471,-75.58540678,6.242100447
122,0,7,-75.55684037,6.301363552,-75.58540678,6.242100447
0,214,7,-75.58412766,6.24279024,-75.54236457,6.299891719
0,3,6,-75.58412766,6.24279024,-75.54146829,6.242984796
124,0,6,-75.5605341,6.265743052,-75.58540678,6.242100447
114,0,6,-75.60494322,6.281522505,-75.58540678,6.242100447
0,207,6,-75.58412766,6.24279024,-75.57902676,6.288013807
1,200,6,-75.52992392,6.235032266,-75.56920733,6.256186139
0,221,6,-75.58412766,6.24279024,-75.57524355,6.300198751
0,209,6,-75.58412766,6.24279024,-75.57371321,6.268514775
117,0,6,-75.59923705,6.240639265,-75.58540678,6.242100447
0,220,6,-75.58412766,6.24279024,-75.56082051,6.281152276
0,218,5,-75.58412766,6.24279024,-75.56387998,6.255296899
0,217,5,-75.58412766,6.24279024,-75.56794375,6.274627529
3,202,5,-75.54265996,6.252286773,-75.57302917,6.237404998
0,219,5,-75.58412766,6.24279024,-75.54169987,6.28667093
107,0,5,-75.59366105,6.198994224,-75.58540678,6.242100447
118,0,5,-75.58117004,6.301188642,-75.58540678,6.242100447
115,0,5,-75.58695057,6.229950052,-75.58540678,6.242100447
123,0,5,-75.57995994,6.304046577,-75.58540678,6.242100447
3,200,4,-75.54265996,6.252286773,-75.56920733,6.256186139
0,204,4,-75.58412766,6.24279024,-75.56454787,6.248522181
102,1,4,-75.56805431,6.249944195,-75.54797436,6.2353306
109,0,4,-75.56362706,6.19579747,-75.58540678,6.242100447
0,213,4,-75.58412766,6.24279024,-75.57030413,6.205496434
102,206,4,-75.56805431,6.249944195,-75.5684028,6.27997851
0,205,3,-75.58412766,6.24279024,-75.57996754,6.284740455
111,200,3,-75.58616036,6.283836346,-75.56920733,6.256186139
102,3,3,-75.56805431,6.249944195,-75.54146829,6.242984796
105,0,3,-75.56436259,6.262664373,-75.58540678,6.242100447
102,210,3,-75.56805431,6.249944195,-75.56138311,6.251153007
2,200,3,-75.54164954,6.23269857,-75.56920733,6.256186139
102,217,3,-75.56805431,6.249944195,-75.56794375,6.274627529
1,201,2,-75.52992392,6.235032266,-75.56536944,6.243308124
102,207,2,-75.56805431,6.249944195,-75.57902676,6.288013807
100,200,2,-75.56670406,6.236365923,-75.56920733,6.256186139
100,201,2,-75.56670406,6.236365923,-75.56536944,6.243308124
100,202,2,-75.56670406,6.236365923,-75.57302917,6.237404998
3,2,2,-75.54265996,6.252286773,-75.53051534,6.234577944
1,203,2,-75.52992392,6.235032266,-75.55695878,6.249559085
106,200,2,-75.56336725,6.271897092,-75.56920733,6.256186139
102,220,2,-75.56805431,6.249944195,-75.56082051,6.281152276
102,221,2,-75.56805431,6.249944195,-75.57524355,6.300198751
112,200,2,-75.58538587,6.241227419,-75.56920733,6.256186139
102,212,2,-75.56805431,6.249944195,-75.58046231,6.214663963
102,211,2,-75.56805431,6.249944195,-75.56483069,6.270810191
1,202,2,-75.52992392,6.235032266,-75.57302917,6.237404998
102,203,1,-75.56805431,6.249944195,-75.55695878,6.249559085
102,215,1,-75.56805431,6.249944195,-75.60998484,6.24285198
102,214,1,-75.56805431,6.249944195,-75.54236457,6.299891719
102,213,1,-75.56805431,6.249944195,-75.57030413,6.205496434
102,205,1,-75.56805431,6.249944195,-75.57996754,6.284740455
3,204,1,-75.54265996,6.252286773,-75.56454787,6.248522181
101,201,1,-75.62184875,6.181463933,-75.56536944,6.243308124
101,200,1,-75.62184875,6.181463933,-75.56920733,6.256186139
2,203,1,-75.54164954,6.23269857,-75.55695878,6.249559085
2,2,1,-75.54164954,6.23269857,-75.53051534,6.234577944
1,210,1,-75.52992392,6.235032266,-75.56138311,6.251153007
1,3,1,-75.52992392,6.235032266,-75.54146829,6.242984796
1,204,1,-75.52992392,6.235032266,-75.56454787,6.248522181
2,205,1,-75.54164954,6.23269857,-75.57996754,6.284740455
100,217,1,-75.56670406,6.236365923,-75.56794375,6.274627529
3,208,1,-75.54265996,6.252286773,-75.56472196,6.23804716
3,203,1,-75.54265996,6.252286773,-75.55695878,6.249559085
100,1,1,-75.56670406,6.236365923,-75.54797436,6.2353306
3,219,1,-75.54265996,6.252286773,-75.54169987,6.28667093
3,211,1,-75.54265996,6.252286773,-75.56483069,6.270810191
3,210,1,-75.54265996,6.252286773,-75.56138311,6.251153007
106,211,1,-75.56336725,6.271897092,-75.56483069,6.270810191
106,209,1,-75.56336725,6.271897092,-75.57371321,6.268514775
106,205,1,-75.56336725,6.271897092,-75.57996754,6.284740455
104,2,1,-75.56106575,6.297248105,-75.53051534,6.234577944
111,202,1,-75.58616036,6.283836346,-75.57302917,6.237404998
109,201,1,-75.56362706,6.19579747,-75.56536944,6.243308124
110,202,1,-75.57359496,6.233134223,-75.57302917,6.237404998
110,220,1,-75.57359496,6.233134223,-75.56082051,6.281152276
107,201,1,-75.59366105,6.198994224,-75.56536944,6.243308124
107,200,1,-75.59366105,6.198994224,-75.56920733,6.256186139
108,200,1,-75.59038299,6.195553216,-75.56920733,6.256186139
109,2,1,-75.56362706,6.19579747,-75.53051534,6.234577944
106,217,1,-75.56336725,6.271897092,-75.56794375,6.274627529
102,218,1,-75.56805431,6.249944195,-75.56387998,6.255296899
105,200,1,-75.56436259,6.262664373,-75.56920733,6.256186139
105,2,1,-75.56436259,6.262664373,-75.53051534,6.234577944
106,201,1,-75.56336725,6.271897092,-75.56536944,6.243308124
115,203,1,-75.58695057,6.229950052,-75.55695878,6.249559085
114,202,1,-75.60494322,6.281522505,-75.57302917,6.237404998
115,201,1,-75.58695057,6.229950052,-75.56536944,6.243308124
118,221,1,-75.58117004,6.301188642,-75.57524355,6.300198751
118,201,1,-75.58117004,6.301188642,-75.56536944,6.243308124
118,200,1,-75.58117004,6.301188642,-75.56920733,6.256186139
116,201,1,-75.58169531,6.246122296,-75.56536944,6.243308124
113,202,1,-75.59022345,6.28353626,-75.57302917,6.237404998
119,214,1,-75.53976891,6.290280245,-75.54236457,6.299891719
120,200,1,-75.54836726,6.292164451,-75.56920733,6.256186139
119,201,1,-75.53976891,6.290280245,-75.56536944,6.243308124
122,201,1,-75.55684037,6.301363552,-75.56536944,6.243308124
121,201,1,-75.54499255,6.287724471,-75.56536944,6.243308124
123,1,1,-75.57995994,6.304046577,-75.54797436,6.2353306
122,219,1,-75.55684037,6.301363552,-75.54169987,6.28667093
123,2,1,-75.57995994,6.304046577,-75.53051534,6.234577944
123,202,1,-75.57995994,6.304046577,-75.57302917,6.237404998
124,203,1,-75.5605341,6.265743052,-75.55695878,6.249559085
124,211,1,-75.5605341,6.265743052,-75.56483069,6.270810191
