ORIGIN_CLUSTER,DESTINATION_CLUSTER,FLOW_WEIGHT,ORIGIN_CENTROID_LON,ORIGIN_CENTROID_LAT,DESTINATION_CENTROID_LON,DESTINATION_CENTROID_LAT,DOMINANT_TIME_BIN,DOMINANT_ORIGIN_ZONE,DOMINANT_DESTINATION_ZONE,DISTANCE_KM,DISTANCE_BIN
4,7,1,-74.08143135,4.610056817,-74.08985906,4.658673694,AM_PEAK,Los Martires,Teusaquillo,5.486050897540617,Medium
9,6,1,-74.07856943,4.592824941,-74.067167,4.645697557,AM_PEAK,Candelaria,Teusaquillo,6.013462013783777,Medium
2,3,1,-74.09009926,4.590847511,-74.08896345,4.602899236,AM_PEAK,Antonio Nariño,Los Martires,1.3459908347213048,Short
13,7,1,-74.09017086,4.640401605,-74.08985906,4.658673694,AM_PEAK,Teusaquillo,Teusaquillo,2.0320574451846936,Short
13,5,1,-74.09017086,4.640401605,-74.08354621,4.648910432,AM_PEAK,Teusaquillo,Teusaquillo,1.1975975487868444,Short
12,9,1,-74.07898221,4.631913863,-74.08529565,4.629296963,AM_PEAK,Teusaquillo,Teusaquillo,0.7578234357673467,Short
4,1,2,-74.08143135,4.610056817,-74.08353486,4.617530857,AM_PEAK,Los Martires,Los Martires,0.863157722960114,Short
10,1,2,-74.10203693,4.647424123,-74.08353486,4.617530857,MIDDAY,Teusaquillo,Los Martires,3.9056195162199114,Short
14,1,1,-74.10582586,4.596194543,-74.08353486,4.617530857,MIDDAY,Antonio Nariño,Los Martires,3.4253118883797193,Short
10,5,1,-74.10203693,4.647424123,-74.08354621,4.648910432,MIDDAY,Teusaquillo,Teusaquillo,2.055965471868759,Short
4,6,1,-74.08143135,4.610056817,-74.067167,4.645697557,MIDDAY,Los Martires,Teusaquillo,4.26677036254817,Short
2,8,3,-74.09009926,4.590847511,-74.09382856,4.587378338,MIDDAY,Antonio Nariño,Antonio Nariño,0.5653888565623268,Short
13,6,1,-74.09017086,4.640401605,-74.067167,4.645697557,MIDDAY,Teusaquillo,Teusaquillo,2.6166441978810466,Short
9,1,1,-74.07856943,4.592824941,-74.08353486,4.617530857,MIDDAY,Candelaria,Los Martires,2.8017565760049363,Short
2,4,1,-74.09009926,4.590847511,-74.07530713,4.615824207,MIDDAY,Antonio Nariño,Los Martires,3.22509967980434,Short
12,8,1,-74.07898221,4.631913863,-74.09382856,4.587378338,OFF_PEAK,Teusaquillo,Antonio Nariño,5.218352520326165,Medium
10,10,1,-74.10203693,4.647424123,-74.13325414,4.60468798,PM_PEAK,Teusaquillo,Kennedy,5.878156622842647,Medium
4,8,1,-74.08143135,4.610056817,-74.09382856,4.587378338,PM_PEAK,Los Martires,Antonio Nariño,2.8717933224262424,Short
12,5,1,-74.07898221,4.631913863,-74.08354621,4.648910432,PM_PEAK,Teusaquillo,Teusaquillo,1.9564529091407599,Short
11,0,1,-74.08212502,4.649181699,-74.09132872,4.625839476,PM_PEAK,Teusaquillo,Teusaquillo,2.7887850171101833,Short
10,2,1,-74.10203693,4.647424123,-74.09671565,4.613517471,PM_PEAK,Teusaquillo,Puente Aranda,3.816096692324134,Short
1,9,1,-74.09537007,4.648150915,-74.08529565,4.629296963,PM_PEAK,Teusaquillo,Teusaquillo,2.375259069838623,Short
