ORIGIN_CLUSTER,DESTINATION_CLUSTER,FLOW_WEIGHT,ORIGIN_CENTROID_LON,ORIGIN_CENTROID_LAT,DESTINATION_CENTROID_LON,DESTINATION_CENTROID_LAT,DOMINANT_TIME_BIN,DOMINANT_ORIGIN_ZONE,DOMINANT_DESTINATION_ZONE,DISTANCE_KM,DISTANCE_BIN
0,1,148,-75.57921722,6.260332292,-75.55807279,6.203209732,AM_PEAK,La Candelaria,El Poblado,6.768114318903755,Medium
5,0,7,-75.53075002,6.238083853,-75.58057905,6.261773129,AM_PEAK,Villa Hermosa,Robledo,6.105286991383095,Medium
3,0,9,-75.53176288,6.230486006,-75.58057905,6.261773129,AM_PEAK,Villa Hermosa,Robledo,6.420189157744363,Medium
1,215,1,-75.55931263,6.198714745,-75.57111967,6.24280842,AM_PEAK,El Poblado,La Candelaria,5.073732609403115,Medium
0,4,9,-75.57921722,6.260332292,-75.57731706,6.187401791,AM_PEAK,La Candelaria,El Poblado,8.112221393417084,Medium
0,2,11,-75.57921722,6.260332292,-75.57393215,6.189873091,AM_PEAK,La Candelaria,El Poblado,7.856456700733959,Medium
7,0,7,-75.52447522,6.231423933,-75.58057905,6.261773129,AM_PEAK,Villa Hermosa,Robledo,7.060175597456962,Medium
3,203,1,-75.53176288,6.230486006,-75.5766709,6.247090273,AM_PEAK,Villa Hermosa,La Candelaria,5.296212124346999,Medium
7,205,1,-75.52447522,6.231423933,-75.56783736,6.248924017,AM_PEAK,Villa Hermosa,La Candelaria,5.173029916655452,Medium
6,2,1,-75.54028282,6.227744568,-75.57393215,6.189873091,AM_PEAK,Buenos Aires,El Poblado,5.618680857728079,Medium
106,1,1,-75.56683326,6.260308678,-75.55807279,6.203209732,AM_PEAK,La Candelaria,El Poblado,6.422535750811399,Medium
109,5,1,-75.57181869,6.261866639,-75.52633258,6.235030016,AM_PEAK,La Candelaria,Villa Hermosa,5.84665526089971,Medium
4,1,1,-75.54166309,6.24883329,-75.55807279,6.203209732,AM_PEAK,Villa Hermosa,El Poblado,5.387643942156393,Medium
0,212,22,-75.57921722,6.260332292,-75.56833206,6.227385782,AM_PEAK,La Candelaria,La Candelaria,3.8560080231733944,Short
4,0,6,-75.54166309,6.24883329,-75.58057905,6.261773129,AM_PEAK,Villa Hermosa,Robledo,4.535760507791812,Short
0,219,10,-75.57921722,6.260332292,-75.57497159,6.23329307,AM_PEAK,La Candelaria,La Candelaria,3.04302847087449,Short
0,203,13,-75.57921722,6.260332292,-75.5766709,6.247090273,AM_PEAK,La Candelaria,La Candelaria,1.4991034122065723,Short
0,202,28,-75.57921722,6.260332292,-75.57209533,6.248181087,AM_PEAK,La Candelaria,La Candelaria,1.5637467707320782,Short
0,207,31,-75.57921722,6.260332292,-75.5622245,6.261874492,AM_PEAK,La Candelaria,La Candelaria,1.8860459105941638,Short
0,211,7,-75.57921722,6.260332292,-75.5762626,6.241439792,AM_PEAK,La Candelaria,La Candelaria,2.1259843068268633,Short
105,0,10,-75.58891401,6.262674588,-75.58057905,6.261773129,AM_PEAK,Laureles-Estadio,Robledo,0.9267121465100973,Short
2,222,1,-75.54352748,6.238954295,-75.57029063,6.262437527,AM_PEAK,Villa Hermosa,La Candelaria,3.9458335697192806,Short
114,0,8,-75.60089701,6.252544383,-75.58057905,6.261773129,AM_PEAK,La America,Robledo,2.4691417347183244,Short
0,214,27,-75.57921722,6.260332292,-75.56099388,6.244114096,AM_PEAK,La Candelaria,La Candelaria,2.7036178757723532,Short
0,200,23,-75.57921722,6.260332292,-75.5722968,6.253891107,AM_PEAK,La Candelaria,La Candelaria,1.0479033216407272,Short
0,216,13,-75.57921722,6.260332292,-75.57222546,6.235146569,AM_PEAK,La Candelaria,La Candelaria,2.9052031633650826,Short
0,204,17,-75.57921722,6.260332292,-75.56595579,6.235978723,AM_PEAK,La Candelaria,La Candelaria,3.079273852656551,Short
