,comuna_o,municipio_o,comuna_d,municipio_d,hora_o,hora_d,modo_tte,motivo_viaje,o_long,o_lat,d_long,d_lat
0,Ciudad Bolivar,Bogotá,Bosa,Bogotá,08:00:00,08:45:00,MOTO,Trabajo,-74.13043078,4.508805134,-74.19009054,4.614210468
1,Bosa,Bogotá,Ciudad Bolivar,Bogotá,18:15:00,19:00:00,MOTO,Casa,-74.1842359,4.613278691,-74.15451083,4.389553082
2,Bosa,Bogotá,Kennedy,Bogotá,08:00:00,08:45:00,MOTO,Alguien,-74.20610961,4.64587497,-74.15881792,4.645376957
3,Kennedy,Bogotá,Bosa,Bogotá,09:52:12,10:37:12,MOTO,Casa,-74.15354914,4.608778197,-74.19223221,4.613151744
4,Bosa,Bogotá,Kennedy,Bogotá,08:00:00,08:45:00,MOTO,Trabajo,-74.17781102,4.601912788,-74.14953569,4.637946994
5,Puente Aranda,Bogotá,Santa Fe,Bogotá,08:00:00,09:00:00,MOTO,Trabajo,-74.09386564,4.613029029,-74.0489416,4.596494196
6,Santa Fe,Bogotá,Puente Aranda,Bogotá,16:00:00,17:00:00,MOTO,Casa,-74.04986958,4.60731034,-74.12112542,4.599612553
7,Teusaquillo,Bogotá,Chapinero,Bogotá,07:19:48,07:45:00,MOTO,Trabajo,-74.09005111,4.649210764,-74.0440879,4.634237975
8,Chapinero,Bogotá,Teusaquillo,Bogotá,16:03:00,16:28:12,MOTO,Casa,-74.01828546,4.615343576,-74.09213074,4.626913158
9,Engativa,Bogotá,Barrios Unidos,Bogotá,07:00:00,07:15:00,MOTO,Trabajo,-74.12122622,4.70122605,-74.07942912,4.662249606
10,Barrios Unidos,Bogotá,Engativa,Bogotá,17:00:00,17:15:00,MOTO,Casa,-74.08026199,4.654098687,-74.1378123,4.717251603
11,Engativa,Bogotá,Barrios Unidos,Bogotá,07:00:00,07:15:00,MOTO,Trabajo,-74.09416536,4.669441797,-74.06659598,4.665516139
