ORIGIN_MUNICIPIO,ORIGIN_COMUNA,ORIGIN_TIME,o_lat,o_long,DESTINATION_MUNICIPIO,DESTINATION_COMUNA,DESTINATION_TIME,d_lat,d_long,TRANSPORT_MODE_S1,TRIP_PURPOSE
Bogotá,Ciudad Bolivar,08:00:00,4.508805134,-74.13043078,Bogotá,Bosa,08:45:00,4.614210468,-74.19009054,MOTO,Trabajo
Bogotá,Bosa,18:15:00,4.613278691,-74.1842359,Bogotá,Ciudad Bolivar,19:00:00,4.389553082,-74.15451083,MOTO,Casa
Bogotá,Bosa,08:00:00,4.64587497,-74.20610961,Bogotá,Kennedy,08:45:00,4.645376957,-74.15881792,MOTO,Alguien
Bogotá,Kennedy,09:52:12,4.608778197,-74.15354914,Bogotá,Bosa,10:37:12,4.613151744,-74.19223221,MOTO,Casa
Bogotá,Bosa,08:00:00,4.601912788,-74.17781102,Bogotá,Kennedy,08:45:00,4.637946994,-74.14953569,MOTO,Trabajo
Bogotá,Puente Aranda,08:00:00,4.613029029,-74.09386564,Bogotá,Santa Fe,09:00:00,4.596494196,-74.0489416,MOTO,Trabajo
Bogotá,Santa Fe,16:00:00,4.60731034,-74.04986958,Bogotá,Puente Aranda,17:00:00,4.599612553,-74.12112542,MOTO,Casa
Bogotá,Teusaquillo,07:19:48,4.649210764,-74.09005111,Bogotá,Chapinero,07:45:00,4.634237975,-74.0440879,MOTO,Trabajo
Bogotá,Chapinero,16:03:00,4.615343576,-74.01828546,Bogotá,Teusaquillo,16:28:12,4.626913158,-74.09213074,MOTO,Casa
Bogotá,Engativa,07:00:00,4.70122605,-74.12122622,Bogotá,Barrios Unidos,07:15:00,4.662249606,-74.07942912,MOTO,Trabajo
Bogotá,Barrios Unidos,17:00:00,4.654098687,-74.08026199,Bogotá,Engativa,17:15:00,4.717251603,-74.1378123,MOTO,Casa
Bogotá,Engativa,07:00:00,4.669441797,-74.09416536,Bogotá,Barrios Unidos,07:15:00,4.665516139,-74.06659598,MOTO,Trabajo
Bogotá,Barrios Unidos,17:45:00,4.675892742,-74.07316896,Bogotá,Engativa,18:00:00,4.709868087,-74.09265158,MOTO,Casa
Bogotá,Ciudad Bolivar,06:30:00,4.418968225,-74.18717205,Bogotá,Kennedy,07:30:00,4.638046968,-74.1790642,MOTO,Trabajo
Bogotá,Kennedy,17:40:12,4.644846232,-74.13512458,Bogotá,Ciudad Bolivar,18:40:12,4.454628284,-74.14445485,MOTO,Casa
Bogotá,Rafael Uribe Uribe,08:00:00,4.57187577,-74.10095783,Bogotá,Rafael Uribe Uribe,08:19:48,4.544585846,-74.11897006,MOTO,Trabajo
Bogotá,San Cristóbal,07:07:12,4.573182914,-74.07095159,Bogotá,Rafael Uribe Uribe,10:09:00,4.574785569,-74.12399035,MOTO,Trabajo
Bogotá,Rafael Uribe Uribe,12:07:48,4.567104978,-74.11185297,Bogotá,San Cristóbal,15:10:12,4.551730771,-74.09375699,MOTO,Casa
Bogotá,Suba,06:00:00,4.740834155,-74.12656169,Bogotá,Suba,06:45:00,4.707476857,-74.07061368,MOTO,Alguien
Bogotá,Suba,06:46:48,4.798233568,-74.06003223,Bogotá,Teusaquillo,07:45:00,4.648506933,-74.10160005,MOTO,Trabajo
Bogotá,Teusaquillo,20:00:00,4.64993641,-74.07846651,Bogotá,Suba,21:00:00,4.745309969,-74.05609516,MOTO,Casa
Bogotá,Suba,06:00:00,4.785564754,-74.06405568,Bogotá,Suba,06:45:00,4.742338898,-74.11962404,MOTO,Estudio
Bogotá,Ciudad Bolivar,09:30:00,4.436963979,-74.17936254,Bogotá,Kennedy,10:01:48,4.635306654,-74.12904256,MOTO,Diligencia
Bogotá,Kennedy,11:03:00,4.630325313,-74.13937333,Bogotá,Ciudad Bolivar,12:30:00,4.404694918,-74.19791876,MOTO,Casa
Bogotá,Fontibon,07:00:00,4.684498779,-74.12708459,Bogotá,Fontibon,08:00:00,4.683744906,-74.14536553,MOTO,Trabajo
Bogotá,Fontibon,19:00:00,4.682363706,-74.13813712,Bogotá,Fontibon,19:51:00,4.673639908,-74.12927129,MOTO,Casa
Bogotá,Usme,09:00:00,4.309112104,-74.1474644,Bogotá,Santa Fe,10:00:00,4.587491768,-74.01348027,MOTO,Recreacion
Bogotá,Santa Fe,13:00:00,4.583374264,-74.05044384,Bogotá,Usme,14:00:00,4.533795458,-74.1168493,MOTO,Casa
Bogotá,San Cristóbal,06:00:00,4.567754859,-74.04856378,Bogotá,Barrios Unidos,07:15:00,4.681396017,-74.06596058,MOTO,Trabajo
Bogotá,Barrios Unidos,10:00:00,4.686147213,-74.0702576,Bogotá,Chapinero,10:40:12,4.624529354,-74.00818202,MOTO,Estudio
Bogotá,Chapinero,13:00:00,4.622216779,-74.03439246,Bogotá,Barrios Unidos,14:00:00,4.655356515,-74.08400282,MOTO,Trabajo
Bogotá,Barrios Unidos,21:00:00,4.658891254,-74.07962991,Bogotá,San Cristóbal,21:45:00,4.546742507,-74.07111692,MOTO,Casa
Bogotá,Usme,07:00:00,4.533512024,-74.11424167,Bogotá,Ciudad Bolivar,08:00:00,4.481890156,-74.12537757,MOTO,Trabajo
Bogotá,Ciudad Bolivar,14:30:00,4.496897984,-74.17159769,Bogotá,Usme,15:30:00,4.37345575,-74.13057442,MOTO,Casa
Bogotá,San Cristóbal,19:00:00,4.576086056,-74.07221103,Bogotá,Rafael Uribe Uribe,19:30:00,4.572693556,-74.1045491,MOTO,Trabajo
Bogotá,Barrios Unidos,22:30:00,4.663604409,-74.09019168,Bogotá,Chapinero,23:00:00,4.624252578,-74.019469,MOTO,Casa
Bogotá,Chapinero,16:15:00,4.648343464,-74.05507207,Bogotá,Chapinero,17:52:48,4.652271576,-74.04332337,MOTO,Casa
Bogotá,Rafael Uribe Uribe,15:03:00,4.559365245,-74.11207074,Bogotá,Puente Aranda,15:42:00,4.621301745,-74.12240399,MOTO,Trabajo
Bogotá,Suba,15:00:00,4.797410321,-74.0654923,Bogotá,Suba,15:19:48,4.773768198,-74.04619913,MOTO,Diligencia
Bogotá,Suba,09:00:00,4.716002481,-74.06611667,Bogotá,Suba,09:19:48,4.800467674,-74.0436763,MOTO,Diligencia
Bogotá,Suba,12:04:48,4.756954464,-74.12059622,Bogotá,Suba,12:25:12,4.793736214,-74.09551137,MOTO,Casa
Bogotá,Santa Fe,04:30:00,4.604572928,-74.01864133,Bogotá,Chapinero,05:45:00,4.665230368,-74.04245773,MOTO,Trabajo
Bogotá,Chapinero,16:12:00,4.626761587,-74.0532082,Bogotá,Santa Fe,17:12:00,4.597667546,-74.00897099,MOTO,Casa
Bogotá,Fontibon,05:00:00,4.693074048,-74.13056808,Bogotá,Fontibon,05:30:00,4.644243321,-74.12167945,MOTO,Trabajo
Bogotá,Fontibon,04:00:00,4.657336613,-74.12547345,Bogotá,Los Martires,05:00:00,4.603817157,-74.08214918,MOTO,Trabajo
Bogotá,Kennedy,08:00:00,4.648453228,-74.12940866,Bogotá,Los Martires,08:34:48,4.615730055,-74.08821177,MOTO,Trabajo
Bogotá,Los Martires,16:30:00,4.61977348,-74.08362768,Bogotá,Kennedy,17:10:12,4.633522497,-74.12740683,MOTO,Casa
Bogotá,Fontibon,07:00:00,4.67442398,-74.13389841,Bogotá,Usaquen,07:30:00,4.699926701,-74.04120012,MOTO,Trabajo
Bogotá,Usaquen,18:10:12,4.707995398,-74.05095633,Bogotá,Fontibon,18:40:12,4.689150831,-74.13493598,MOTO,Casa
Bogotá,Tunjuelito,12:00:00,4.573165046,-74.14122759,Bogotá,San Cristóbal,14:00:00,4.56519097,-74.09444809,MOTO,Trabajo
