ORIGIN_MUNICIPIO,ORIGIN_COMUNA,ORIGIN_TIME,o_lat,o_long,DESTINATION_MUNICIPIO,DESTINATION_COMUNA,DESTINATION_TIME,d_lat,d_long,TRANSPORT_MODE_S1,TRIP_PURPOSE,ORIGIN_CLUSTER,DESTINATION_CLUSTER
Medellin,La Candelaria,20:00:00,6.246893833,-75.56360841,Medellin,Corregimiento Altavista,21:00:00,6.243582724,-75.66480683,Moto (Conductor),Casa,0,-1
Medellin,Guayabal,14:00:00,6.207210971,-75.5815758,Medellin,La Candelaria,15:00:00,6.244614126,-75.57389919,Moto (Conductor),Diligencia,0,217
Medellin,Guayabal,09:00:00,6.207351864,-75.59699916,Medellin,El Poblado,09:20:00,6.187435889,-75.57360415,Moto (Conductor),Estudio,0,2
Medellin,El Poblado,16:00:00,6.218631645,-75.57665792,Medellin,Guayabal,16:20:00,6.22326448,-75.58094325,Moto (Conductor),Casa,0,0
Medellin,Corregimiento Altavista,08:00:00,6.218354131,-75.63500765,Medellin,Corregimiento Altavista,08:05:00,6.205899171,-75.60902047,Moto (Conductor),Otro,-1,0
Medellin,Corregimiento Altavista,09:00:00,6.212364758,-75.63568072,Medellin,Corregimiento Altavista,09:05:00,6.229765556,-75.63487083,Moto (Conductor),Casa,-1,-1
Medellin,Belen,05:45:00,6.204571543,-75.60665607,Medellin,Belen,06:00:00,6.2080972,-75.60066177,Moto (Acompa?±ante),Trabajo,0,0
Medellin,Belen,17:00:00,6.231634585,-75.60457685,Medellin,Belen,17:15:00,6.230290835,-75.59650997,Moto (Acompa?±ante),Casa,0,0
Medellin,Belen,05:45:00,6.213289714,-75.60798831,Medellin,Belen,06:00:00,6.23571858,-75.6004135,Moto (Conductor),Trabajo,0,0
Medellin,Belen,17:00:00,6.217174166,-75.59632675,Medellin,Belen,17:15:00,6.236163329,-75.59708981,Moto (Conductor),Casa,0,0
Medellin,Popular,12:00:00,6.28978905,-75.5370129,Medellin,San Javier,12:30:00,6.271525462,-75.59980156,Moto (Acompa?±ante),Casa,0,0
Medellin,Corregimiento Altavista,07:00:00,6.255245013,-75.65882289,Medellin,Belen,07:40:00,6.235971325,-75.58131699,Moto (Conductor),Trabajo,-1,0
Medellin,Belen,16:00:00,6.234379351,-75.6127892,Medellin,Corregimiento Altavista,16:40:00,6.247095697,-75.63965059,Moto (Conductor),Casa,0,-1
Medellin,Corregimiento Altavista,07:00:00,6.227987293,-75.65462895,Medellin,Belen,07:10:00,6.217990339,-75.6038626,Moto (Acompa?±ante),Estudio,-1,0
Medellin,San Javier,07:00:00,6.258556015,-75.61090755,Medellin,Laureles-Estadio,07:20:00,6.241175832,-75.61097384,Moto (Conductor),Trabajo,0,0
Medellin,Laureles-Estadio,17:30:00,6.255761196,-75.58279791,Medellin,San Javier,18:00:00,6.271398605,-75.61021228,Moto (Conductor),Casa,0,0
Medellin,San Javier,05:00:00,6.262104012,-75.60326284,Medellin,Guayabal,05:40:00,6.229187111,-75.58324948,Moto (Conductor),Trabajo,0,0
Medellin,Guayabal,18:00:00,6.199336358,-75.59620745,Medellin,San Javier,18:30:00,6.268842639,-75.61225349,Moto (Conductor),Casa,0,224
Medellin,Corregimiento Altavista,10:00:00,6.199153083,-75.62607729,Medellin,El Poblado,11:00:00,6.189336693,-75.5690565,Moto (Conductor),Trabajo,-1,-1
Medellin,San Javier,07:50:00,6.248434905,-75.63258479,Medellin,Guayabal,08:00:00,6.198373819,-75.59240085,Moto (Conductor),Alguien,0,0
Medellin,Guayabal,08:10:00,6.224979531,-75.58839761,Medellin,San Javier,08:20:00,6.270293961,-75.59820227,Moto (Conductor),Casa,0,0
Medellin,San Javier,07:50:00,6.247116546,-75.61708742,Medellin,Guayabal,08:00:00,6.208385184,-75.58217318,Moto (Acompa?±ante),Alguien,0,0
Medellin,Guayabal,08:10:00,6.211293077,-75.58808025,Medellin,San Javier,08:20:00,6.270463352,-75.61632644,Moto (Acompa?±ante),Casa,0,0
Medellin,San Javier,07:50:00,6.264831852,-75.6060467,Medellin,Guayabal,08:00:00,6.224961755,-75.57828464,Moto (Acompa?±ante),Otro,0,0
Medellin,San Javier,07:45:00,6.253009039,-75.62848248,Medellin,Laureles-Estadio,08:10:00,6.257412629,-75.59319717,Moto (Conductor),Trabajo,0,0
Medellin,Laureles-Estadio,17:50:00,6.246401261,-75.58178766,Medellin,San Javier,18:30:00,6.258549228,-75.62472881,Moto (Conductor),Casa,0,0
Medellin,San Javier,20:00:00,6.24574827,-75.61792407,Medellin,La America,20:15:00,6.259025193,-75.60456179,Moto (Conductor),Diligencia,0,0
Medellin,La America,20:45:00,6.252216833,-75.60748327,Medellin,San Javier,21:00:00,6.246695819,-75.63556982,Moto (Conductor),Casa,0,0
Medellin,El Poblado,14:15:00,6.228205959,-75.57561245,Medellin,San Javier,15:00:00,6.265719154,-75.60708974,Moto (Acompa?±ante),Casa,0,0
Medellin,La Candelaria,11:00:00,6.246083915,-75.57272129,Medellin,Buenos Aires,11:30:00,6.219275515,-75.55707527,Moto (Conductor),Trabajo,0,-1
Medellin,San Javier,05:30:00,6.245047237,-75.61762309,Medellin,El Poblado,06:00:00,6.20127462,-75.57005466,Moto (Acompa?±ante),Trabajo,0,0
Medellin,San Javier,06:30:00,6.260664834,-75.61090378,Medellin,El Poblado,06:50:00,6.189849814,-75.55398315,Moto (Conductor),Trabajo,0,1
Medellin,Robledo,20:30:00,6.281082127,-75.58402831,Medellin,San Javier,21:00:00,6.258421499,-75.61941045,Moto (Conductor),Casa,0,0
Medellin,San Javier,11:00:00,6.24376745,-75.62219226,Medellin,Laureles-Estadio,11:25:00,6.23903073,-75.59838034,Moto (Conductor),Trabajo,0,0
Medellin,Laureles-Estadio,19:00:00,6.257401361,-75.59109234,Medellin,San Javier,19:30:00,6.247175471,-75.61744277,Moto (Conductor),Casa,0,0
Medellin,San Javier,05:30:00,6.254061887,-75.62275261,Medellin,Castilla,06:30:00,6.267731069,-75.57356953,Moto (Conductor),Trabajo,0,0
Medellin,Castilla,17:00:00,6.29006984,-75.57352917,Medellin,San Javier,18:00:00,6.25954891,-75.62005955,Moto (Conductor),Casa,0,0
Medellin,San Javier,20:00:00,6.259674701,-75.62245723,Medellin,La Candelaria,21:00:00,6.239986342,-75.57641245,Moto (Conductor),Alguien,0,213
