ORIGIN_CLUSTER,DESTINATION_CLUSTER,FLOW_WEIGHT,ORIGIN_CENTROID_LON,ORIGIN_CENTROID_LAT,DESTINATION_CENTROID_LON,DESTINATION_CENTROID_LAT
0,0,2233,-75.57921722,6.260332292,-75.58057905,6.261773129
0,1,148,-75.57921722,6.260332292,-75.55807279,6.203209732
1,0,107,-75.55931263,6.198714745,-75.58057905,6.261773129
0,6,51,-75.57921722,6.260332292,-75.54213488,6.24569529
0,207,31,-75.57921722,6.260332292,-75.5622245,6.261874492
0,209,30,-75.57921722,6.260332292,-75.56561334,6.252521634
103,0,29,-75.5697882,6.23084439,-75.58057905,6.261773129
0,202,28,-75.57921722,6.260332292,-75.57209533,6.248181087
0,214,27,-75.57921722,6.260332292,-75.56099388,6.244114096
101,0,24,-75.56583297,6.254773422,-75.58057905,6.261773129
0,200,23,-75.57921722,6.260332292,-75.5722968,6.253891107
107,0,22,-75.57308543,6.23594142,-75.58057905,6.261773129
0,212,22,-75.57921722,6.260332292,-75.56833206,6.227385782
102,0,18,-75.56150774,6.251117415,-75.58057905,6.261773129
0,201,17,-75.57921722,6.260332292,-75.56763037,6.243565143
0,204,17,-75.57921722,6.260332292,-75.56595579,6.235978723
0,5,16,-75.57921722,6.260332292,-75.52633258,6.235030016
2,0,16,-75.54352748,6.238954295,-75.58057905,6.261773129
109,0,16,-75.57181869,6.261866639,-75.58057905,6.261773129
110,0,15,-75.5560925,6.249394913,-75.58057905,6.261773129
115,0,15,-75.57634923,6.251557255,-75.58057905,6.261773129
100,0,14,-75.57479261,6.244921286,-75.58057905,6.261773129
0,216,13,-75.57921722,6.260332292,-75.57222546,6.235146569
0,206,13,-75.57921722,6.260332292,-75.56905344,6.258837203
0,203,13,-75.57921722,6.260332292,-75.5766709,6.247090273
106,0,13,-75.56683326,6.260308678,-75.58057905,6.261773129
108,0,13,-75.56801047,6.246546147,-75.58057905,6.261773129
0,217,12,-75.57921722,6.260332292,-75.57517956,6.244102996
0,3,11,-75.57921722,6.260332292,-75.58142249,6.200991338
0,2,11,-75.57921722,6.260332292,-75.57393215,6.189873091
0,223,11,-75.57921722,6.260332292,-75.56115287,6.265882567
1,1,11,-75.55931263,6.198714745,-75.55807279,6.203209732
0,205,11,-75.57921722,6.260332292,-75.56783736,6.248924017
105,0,10,-75.58891401,6.262674588,-75.58057905,6.261773129
113,0,10,-75.57474342,6.254181206,-75.58057905,6.261773129
0,219,10,-75.57921722,6.260332292,-75.57497159,6.23329307
0,218,10,-75.57921722,6.260332292,-75.56393672,6.246025551
117,0,9,-75.56623934,6.226729989,-75.58057905,6.261773129
0,208,9,-75.57921722,6.260332292,-75.56725222,6.264076749
0,4,9,-75.57921722,6.260332292,-75.57731706,6.187401791
8,0,9,-75.57131236,6.181833624,-75.58057905,6.261773129
112,0,9,-75.56686843,6.236241686,-75.58057905,6.261773129
3,0,9,-75.53176288,6.230486006,-75.58057905,6.261773129
0,224,8,-75.57921722,6.260332292,-75.6135003,6.269010353
0,221,8,-75.57921722,6.260332292,-75.5710651,6.257928636
0,7,8,-75.57921722,6.260332292,-75.55328222,6.260047494
104,0,8,-75.56396358,6.23766376,-75.58057905,6.261773129
0,225,8,-75.57921722,6.260332292,-75.55541272,6.287446853
114,0,8,-75.60089701,6.252544383,-75.58057905,6.261773129
7,0,7,-75.52447522,6.231423933,-75.58057905,6.261773129
5,0,7,-75.53075002,6.238083853,-75.58057905,6.261773129
0,211,7,-75.57921722,6.260332292,-75.5762626,6.241439792
0,213,7,-75.57921722,6.260332292,-75.57591929,6.239506097
1,6,7,-75.55931263,6.198714745,-75.54213488,6.24569529
0,222,7,-75.57921722,6.260332292,-75.57029063,6.262437527
0,215,6,-75.57921722,6.260332292,-75.57111967,6.24280842
0,210,6,-75.57921722,6.260332292,-75.56484398,6.256399862
4,0,6,-75.54166309,6.24883329,-75.58057905,6.261773129
6,0,6,-75.54028282,6.227744568,-75.58057905,6.261773129
0,220,5,-75.57921722,6.260332292,-75.5621293,6.255430126
116,0,4,-75.56964787,6.257577563,-75.58057905,6.261773129
111,0,4,-75.56077431,6.253637965,-75.58057905,6.261773129
6,1,2,-75.54028282,6.227744568,-75.55807279,6.203209732
3,1,2,-75.53176288,6.230486006,-75.55807279,6.203209732
8,1,2,-75.57131236,6.181833624,-75.55807279,6.203209732
102,3,2,-75.56150774,6.251117415,-75.58142249,6.200991338
103,6,2,-75.5697882,6.23084439,-75.54213488,6.24569529
102,6,2,-75.56150774,6.251117415,-75.54213488,6.24569529
106,6,2,-75.56683326,6.260308678,-75.54213488,6.24569529
4,223,1,-75.54166309,6.24883329,-75.56115287,6.265882567
4,216,1,-75.54166309,6.24883329,-75.57222546,6.235146569
4,203,1,-75.54166309,6.24883329,-75.5766709,6.247090273
2,210,1,-75.54352748,6.238954295,-75.56484398,6.256399862
3,204,1,-75.53176288,6.230486006,-75.56595579,6.235978723
3,203,1,-75.53176288,6.230486006,-75.5766709,6.247090273
3,6,1,-75.53176288,6.230486006,-75.54213488,6.24569529
3,5,1,-75.53176288,6.230486006,-75.52633258,6.235030016
2,212,1,-75.54352748,6.238954295,-75.56833206,6.227385782
2,222,1,-75.54352748,6.238954295,-75.57029063,6.262437527
2,207,1,-75.54352748,6.238954295,-75.5622245,6.261874492
1,211,1,-75.55931263,6.198714745,-75.5762626,6.241439792
1,201,1,-75.55931263,6.198714745,-75.56763037,6.243565143
1,200,1,-75.55931263,6.198714745,-75.5722968,6.253891107
1,5,1,-75.55931263,6.198714745,-75.52633258,6.235030016
1,207,1,-75.55931263,6.198714745,-75.5622245,6.261874492
1,224,1,-75.55931263,6.198714745,-75.6135003,6.269010353
2,200,1,-75.54352748,6.238954295,-75.5722968,6.253891107
1,215,1,-75.55931263,6.198714745,-75.57111967,6.24280842
1,3,1,-75.55931263,6.198714745,-75.58142249,6.200991338
100,1,1,-75.57479261,6.244921286,-75.55807279,6.203209732
8,211,1,-75.57131236,6.181833624,-75.5762626,6.241439792
8,6,1,-75.57131236,6.181833624,-75.54213488,6.24569529
7,217,1,-75.52447522,6.231423933,-75.57517956,6.244102996
7,219,1,-75.52447522,6.231423933,-75.57497159,6.23329307
7,5,1,-75.52447522,6.231423933,-75.52633258,6.235030016
7,205,1,-75.52447522,6.231423933,-75.56783736,6.248924017
7,207,1,-75.52447522,6.231423933,-75.5622245,6.261874492
6,210,1,-75.54028282,6.227744568,-75.56484398,6.256399862
6,207,1,-75.54028282,6.227744568,-75.5622245,6.261874492
6,7,1,-75.54028282,6.227744568,-75.55328222,6.260047494
7,1,1,-75.52447522,6.231423933,-75.55807279,6.203209732
5,209,1,-75.53075002,6.238083853,-75.56561334,6.252521634
5,207,1,-75.53075002,6.238083853,-75.5622245,6.261874492
5,218,1,-75.53075002,6.238083853,-75.56393672,6.246025551
6,2,1,-75.54028282,6.227744568,-75.57393215,6.189873091
3,219,1,-75.53176288,6.230486006,-75.57497159,6.23329307
3,214,1,-75.53176288,6.230486006,-75.56099388,6.244114096
3,207,1,-75.53176288,6.230486006,-75.5622245,6.261874492
4,1,1,-75.54166309,6.24883329,-75.55807279,6.203209732
5,5,1,-75.53075002,6.238083853,-75.52633258,6.235030016
104,1,1,-75.56396358,6.23766376,-75.55807279,6.203209732
102,207,1,-75.56150774,6.251117415,-75.5622245,6.261874492
102,222,1,-75.56150774,6.251117415,-75.57029063,6.262437527
103,1,1,-75.5697882,6.23084439,-75.55807279,6.203209732
102,223,1,-75.56150774,6.251117415,-75.56115287,6.265882567
102,210,1,-75.56150774,6.251117415,-75.56484398,6.256399862
102,200,1,-75.56150774,6.251117415,-75.5722968,6.253891107
101,216,1,-75.56583297,6.254773422,-75.57222546,6.235146569
100,216,1,-75.57479261,6.244921286,-75.57222546,6.235146569
101,210,1,-75.56583297,6.254773422,-75.56484398,6.256399862
101,207,1,-75.56583297,6.254773422,-75.5622245,6.261874492
107,5,1,-75.57308543,6.23594142,-75.52633258,6.235030016
106,201,1,-75.56683326,6.260308678,-75.56763037,6.243565143
105,212,1,-75.58891401,6.262674588,-75.56833206,6.227385782
106,1,1,-75.56683326,6.260308678,-75.55807279,6.203209732
105,200,1,-75.58891401,6.262674588,-75.5722968,6.253891107
104,205,1,-75.56396358,6.23766376,-75.56783736,6.248924017
104,206,1,-75.56396358,6.23766376,-75.56905344,6.258837203
105,2,1,-75.58891401,6.262674588,-75.57393215,6.189873091
103,205,1,-75.5697882,6.23084439,-75.56783736,6.248924017
103,206,1,-75.5697882,6.23084439,-75.56905344,6.258837203
108,224,1,-75.56801047,6.246546147,-75.6135003,6.269010353
108,203,1,-75.56801047,6.246546147,-75.5766709,6.247090273
107,209,1,-75.57308543,6.23594142,-75.56561334,6.252521634
107,7,1,-75.57308543,6.23594142,-75.55328222,6.260047494
107,208,1,-75.57308543,6.23594142,-75.56725222,6.264076749
107,206,1,-75.57308543,6.23594142,-75.56905344,6.258837203
110,210,1,-75.5560925,6.249394913,-75.56484398,6.256399862
110,7,1,-75.5560925,6.249394913,-75.55328222,6.260047494
109,5,1,-75.57181869,6.261866639,-75.52633258,6.235030016
109,217,1,-75.57181869,6.261866639,-75.57517956,6.244102996
