ORIGIN_CLUSTER,-1,0,1,2,3,4,5,6,7,8,9,10,11
-1,3855,32,70,19,33,25,38,29,18,21,12,14,15
0,35,0,0,0,0,0,0,0,0,0,0,0,0
1,15,0,0,0,0,0,0,0,0,0,1,0,0
2,47,0,0,0,1,1,0,0,0,3,0,0,0
3,18,0,0,0,0,0,0,0,0,0,0,0,0
4,32,0,2,0,0,0,0,1,1,1,0,0,0
5,15,0,0,0,0,0,0,0,0,0,0,0,0
6,22,0,0,0,0,0,0,0,0,0,0,0,0
7,19,0,0,0,0,0,0,0,0,0,0,0,0
8,22,0,0,0,0,0,0,0,0,0,0,0,0
9,17,0,1,0,0,0,0,1,0,0,0,0,0
10,10,0,2,1,0,0,1,0,0,0,0,1,0
11,20,1,0,0,0,0,0,0,0,0,0,0,0
12,13,0,0,0,0,0,1,0,0,1,1,0,0
13,24,0,0,0,0,0,1,1,1,0,0,0,0
14,14,0,1,0,0,0,0,0,0,0,0,0,0
